Date,Close/Last,Volume,Open,High,Low
01/05/2024,$48.35,4030837,$47.95,$48.40,$47.85
01/04/2024,$47.90,6405081,$48.06,$48.2697,$47.82
01/03/2024,$47.85,7197357,$47.70,$48.50,$47.64
01/02/2024,$47.96,6317653,$48.50,$48.60,$47.91
12/29/2023,$48.65,3617282,$48.66,$48.95,$48.64
12/28/2023,$48.66,3691691,$48.61,$48.84,$48.56
12/27/2023,$48.61,3281275,$48.30,$48.725,$48.29
12/26/2023,$48.35,4833356,$47.83,$48.43,$47.82
12/22/2023,$47.97,5029698,$47.95,$48.09,$47.81
12/21/2023,$48.16,6261027,$48.00,$48.455,$47.50
12/20/2023,$47.82,17185400,$48.07,$48.23,$47.58
12/19/2023,$48.38,32357370,$49.20,$49.46,$48.095
12/18/2023,$49.59,70267380,$49.77,$50.20,$49.24
12/15/2023,$39.33,11337150,$39.19,$39.72,$38.91
12/14/2023,$38.86,7590179,$38.90,$39.06,$38.515
12/13/2023,$38.59,25687590,$36.47,$38.6278,$36.335
12/12/2023,$36.39,3498980,$36.13,$36.5782,$35.91
12/11/2023,$36.14,2893191,$35.82,$36.30,$35.68
12/08/2023,$35.90,4036234,$35.88,$36.382,$35.77
12/07/2023,$35.93,4634872,$35.90,$36.13,$35.74
12/06/2023,$35.81,5866510,$36.15,$36.325,$35.58
12/05/2023,$36.21,3357330,$36.45,$36.57,$36.07
12/04/2023,$36.53,5387019,$36.03,$36.64,$36.0212
12/01/2023,$36.24,7129077,$36.06,$36.43,$35.84
11/30/2023,$35.90,6084292,$35.55,$35.91,$35.48
11/29/2023,$35.58,4591529,$35.42,$35.68,$35.3829
11/28/2023,$35.42,11047650,$34.81,$35.59,$34.65
11/27/2023,$34.82,3487921,$34.92,$35.022,$34.79
11/24/2023,$34.85,3133448,$34.63,$35.03,$34.53
11/22/2023,$34.70,3550224,$34.26,$34.75,$34.13
11/21/2023,$34.32,2011500,$34.07,$34.43,$33.98
11/20/2023,$34.11,2243540,$34.20,$34.61,$34.10
11/17/2023,$34.18,3041947,$34.39,$34.58,$34.025
11/16/2023,$34.43,2655471,$34.39,$34.635,$34.30
11/15/2023,$34.36,2657889,$34.42,$34.665,$34.21
11/14/2023,$34.40,2916875,$34.32,$34.45,$34.11
11/13/2023,$34.08,1899112,$34.25,$34.27,$33.925
11/10/2023,$34.35,2869536,$34.05,$34.425,$33.98
11/09/2023,$33.98,3035679,$34.25,$34.29,$33.95
11/08/2023,$34.14,4463541,$34.15,$35.76,$33.96
11/07/2023,$34.18,3989273,$34.23,$34.44,$33.92
11/06/2023,$34.51,3312378,$34.30,$34.55,$34.205
11/03/2023,$34.24,3844573,$34.13,$34.49,$34.12
11/02/2023,$34.24,3349894,$34.22,$34.36,$33.945
11/01/2023,$34.25,4342636,$33.86,$34.29,$33.52
10/31/2023,$33.89,8629766,$33.85,$34.37,$33.69
10/30/2023,$33.87,6873328,$33.68,$33.90,$33.23
10/27/2023,$33.59,9951132,$33.00,$33.735,$32.5999
10/26/2023,$32.57,3616376,$32.47,$32.99,$32.45
10/25/2023,$32.40,2822247,$32.32,$32.63,$32.10
10/24/2023,$32.48,4887551,$31.90,$32.73,$31.87
