Date,Close/Last,Volume,Open,High,Low
01/26/2024,$10.80,N/A,$10.80,$10.80,$10.80
01/25/2024,$10.80,N/A,$10.80,$10.80,$10.80
01/24/2024,$10.80,N/A,$10.80,$10.80,$10.80
01/23/2024,$10.80,N/A,$10.80,$10.80,$10.80
01/22/2024,$10.80,4400,$10.78,$10.80,$10.78
01/19/2024,$10.77,52306,$10.76,$10.77,$10.75
01/18/2024,$10.7502,57618,$10.75,$10.76,$10.75
01/17/2024,$10.74,5262,$10.74,$10.75,$10.74
01/16/2024,$10.73,658,$10.75,$10.75,$10.73
01/12/2024,$10.75,469,$10.75,$10.75,$10.75
01/11/2024,$10.75,1002,$10.75,$10.75,$10.75
01/10/2024,$10.749,503,$10.749,$10.749,$10.749
01/09/2024,$10.75,284,$10.75,$10.75,$10.75
01/08/2024,$10.749,289,$10.749,$10.749,$10.749
01/05/2024,$10.749,1345,$10.749,$10.75,$10.749
01/04/2024,$10.74,5857,$10.75,$10.75,$10.74
01/03/2024,$10.71,N/A,$10.71,$10.71,$10.71
01/02/2024,$10.71,N/A,$10.71,$10.71,$10.71
12/29/2023,$10.71,N/A,$10.71,$10.71,$10.71
12/28/2023,$10.71,N/A,$10.71,$10.71,$10.71
12/27/2023,$10.71,N/A,$10.71,$10.71,$10.71
12/26/2023,$10.71,1889,$10.71,$10.7101,$10.71
12/22/2023,$10.70,1603,$10.7085,$10.7085,$10.70
12/21/2023,$10.70,13053,$10.67,$10.71,$10.67
12/20/2023,$10.6702,N/A,$10.6702,$10.6702,$10.6702
12/19/2023,$10.6702,10599,$10.67,$10.68,$10.67
12/18/2023,$10.66,49992,$10.67,$10.67,$10.66
12/15/2023,$10.67,N/A,$10.67,$10.67,$10.67
12/14/2023,$10.67,404,$10.67,$10.67,$10.67
12/13/2023,$10.67,24490,$10.67,$10.67,$10.65
12/12/2023,$10.665,N/A,$10.665,$10.665,$10.665
12/11/2023,$10.665,1070,$10.665,$10.665,$10.665
12/08/2023,$10.68,2049,$10.68,$10.68,$10.65
12/07/2023,$10.67,N/A,$10.67,$10.67,$10.67
12/06/2023,$10.67,111200,$10.66,$10.67,$10.6407
12/05/2023,$10.65,18865,$10.65,$10.65,$10.6294
12/04/2023,$10.65,17815,$10.65,$10.65,$10.6489
12/01/2023,$10.65,192,$10.65,$10.65,$10.65
11/30/2023,$10.64,2242,$10.65,$10.65,$10.64
11/29/2023,$10.64,499,$10.64,$10.64,$10.64
11/28/2023,$10.64,2496,$10.64,$10.64,$10.64
11/27/2023,$10.64,926,$10.64,$10.64,$10.64
11/24/2023,$10.64,N/A,$10.64,$10.64,$10.64
11/22/2023,$10.64,1008,$10.65,$10.65,$10.64
11/21/2023,$10.65,7175,$10.66,$10.66,$10.64
11/20/2023,$10.66,100,$10.66,$10.66,$10.66
11/17/2023,$10.64,N/A,$10.64,$10.64,$10.64
11/16/2023,$10.64,N/A,$10.64,$10.64,$10.64
11/15/2023,$10.64,7311,$10.65,$10.65,$10.64
11/14/2023,$10.64,17189,$10.659,$10.66,$10.64
11/13/2023,$10.64,3300,$10.66,$10.66,$10.64
11/10/2023,$10.65,776,$10.65,$10.65,$10.65
11/09/2023,$10.64,N/A,$10.64,$10.64,$10.64
11/08/2023,$10.64,N/A,$10.64,$10.64,$10.64
11/07/2023,$10.64,10394,$10.65,$10.65,$10.64
11/06/2023,$10.65,N/A,$10.65,$10.65,$10.65
11/03/2023,$10.65,1300,$10.65,$10.65,$10.65
11/02/2023,$10.65,N/A,$10.65,$10.65,$10.65
11/01/2023,$10.65,207440,$10.65,$10.655,$10.64
10/31/2023,$10.63,N/A,$10.63,$10.63,$10.63
