Date,Close/Last,Volume,Open,High,Low
01/03/2024,$12.26,15071310,$11.53,$12.55,$11.13
01/02/2024,$11.19,10229180,$10.40,$11.27,$10.20
12/29/2023,$9.87,5937444,$9.90,$10.24,$9.52
12/28/2023,$9.77,5333897,$10.07,$10.38,$9.75
12/27/2023,$10.12,7832571,$10.61,$10.77,$9.814
12/26/2023,$10.25,17195140,$10.75,$10.86,$9.50
12/22/2023,$11.58,11968970,$11.00,$11.935,$10.87
12/21/2023,$10.50,7471968,$10.55,$10.70,$10.05
12/20/2023,$10.01,10078550,$9.84,$10.88,$9.65
12/19/2023,$9.65,7924398,$9.80,$9.80,$9.26
12/18/2023,$9.77,13318140,$10.37,$10.95,$9.47
12/15/2023,$9.64,13026310,$8.61,$9.77,$8.61
12/14/2023,$8.17,5987947,$7.73,$8.295,$7.71
12/13/2023,$7.54,4630234,$7.24,$7.585,$6.965
12/12/2023,$7.29,3040367,$7.50,$7.53,$7.225
12/11/2023,$7.62,2898394,$7.28,$7.71,$7.27
12/08/2023,$7.36,2347985,$7.24,$7.50,$7.20
12/07/2023,$7.21,2591146,$7.20,$7.28,$7.06
12/06/2023,$7.26,2991940,$7.36,$7.5291,$7.21
12/05/2023,$7.29,4492390,$7.87,$7.90,$7.22
12/04/2023,$8.06,5391279,$7.70,$8.12,$7.68
12/01/2023,$7.62,5333143,$6.93,$7.6799,$6.7998
11/30/2023,$7.00,3101886,$6.97,$7.06,$6.775
11/29/2023,$6.93,4758898,$6.63,$7.28,$6.63
11/28/2023,$6.59,5147548,$6.55,$6.69,$6.39
11/27/2023,$6.63,3397344,$6.87,$6.8803,$6.59
11/24/2023,$6.90,1341354,$6.90,$6.98,$6.86
11/22/2023,$6.90,2956051,$6.99,$7.04,$6.855
11/21/2023,$6.94,3777211,$6.98,$7.22,$6.85
11/20/2023,$7.02,5315202,$7.45,$7.49,$6.95
11/17/2023,$7.62,5318871,$7.06,$7.62,$6.875
11/16/2023,$7.27,6658208,$7.41,$7.93,$7.1501
11/15/2023,$7.50,10321780,$7.42,$7.65,$6.77
11/14/2023,$7.80,4995317,$7.29,$7.875,$7.26
11/13/2023,$7.13,2613961,$7.31,$7.31,$7.025
11/10/2023,$7.39,1881672,$7.56,$7.57,$7.20
11/09/2023,$7.50,2014347,$7.45,$7.58,$7.38
11/08/2023,$7.36,2475536,$7.50,$7.57,$7.2298
11/07/2023,$7.55,3051588,$7.73,$7.73,$7.245
11/06/2023,$7.74,1706373,$7.91,$7.92,$7.67
11/03/2023,$7.89,3915442,$7.86,$7.9497,$7.66
11/02/2023,$8.22,3017482,$7.90,$8.24,$7.8706
11/01/2023,$7.74,1563750,$7.74,$7.885,$7.65
10/31/2023,$7.74,1939754,$7.90,$7.97,$7.725
10/30/2023,$7.90,2826015,$8.24,$8.36,$7.80
10/27/2023,$8.14,2341366,$8.80,$8.83,$8.085
10/26/2023,$8.74,2240210,$8.53,$8.88,$8.465
10/25/2023,$8.49,1082230,$8.40,$8.50,$8.255
10/24/2023,$8.51,3829038,$8.16,$8.675,$8.15
10/23/2023,$8.05,3437900,$8.28,$8.375,$8.00
10/20/2023,$8.47,1785099,$8.65,$8.75,$8.47
10/19/2023,$8.75,2851548,$9.06,$9.08,$8.65
10/18/2023,$9.17,1907968,$9.42,$9.455,$9.06
10/17/2023,$9.56,1589074,$9.55,$9.78,$9.47
10/16/2023,$9.69,1645431,$9.62,$9.8296,$9.58
10/13/2023,$9.76,3316265,$9.17,$9.85,$9.165
10/12/2023,$9.13,3160612,$9.65,$9.65,$9.05
10/11/2023,$9.54,1590679,$9.53,$9.665,$9.43
10/10/2023,$9.66,1797089,$9.55,$9.92,$9.5316
10/09/2023,$9.77,3466587,$9.34,$9.885,$9.28
10/06/2023,$9.77,2215590,$9.21,$9.825,$9.17
10/05/2023,$9.32,1835863,$9.62,$9.69,$9.28
10/04/2023,$9.58,2320675,$9.50,$9.63,$9.1313
10/03/2023,$9.54,2635589,$9.78,$9.84,$9.49
10/02/2023,$9.92,2123735,$10.39,$10.49,$9.86
09/29/2023,$10.45,1401187,$10.29,$10.585,$10.29
09/28/2023,$10.33,1565360,$10.16,$10.435,$10.06
09/27/2023,$10.24,3013846,$10.60,$10.68,$10.01
09/26/2023,$10.53,2163426,$10.81,$10.99,$10.50
09/25/2023,$10.89,3624092,$11.20,$11.23,$10.67
09/22/2023,$11.42,2438699,$11.12,$11.59,$11.095
09/21/2023,$11.11,2165349,$11.25,$11.47,$11.07
09/20/2023,$11.43,2210801,$11.89,$12.02,$11.425
09/19/2023,$11.78,2029836,$11.54,$11.79,$11.505
09/18/2023,$11.55,4506680,$11.51,$12.028,$11.42
09/15/2023,$11.00,3431662,$11.30,$11.4395,$11.00
09/14/2023,$11.25,2414497,$11.55,$11.73,$11.23
09/13/2023,$11.28,2276947,$11.71,$11.915,$11.28
09/12/2023,$11.61,1274982,$11.35,$11.7095,$11.3169
09/11/2023,$11.43,1657588,$11.45,$11.63,$11.35
09/08/2023,$11.44,1393011,$11.31,$11.575,$11.16
09/07/2023,$11.35,2340135,$11.55,$11.60,$11.2982
09/06/2023,$11.70,1566349,$11.63,$11.80,$11.55
09/05/2023,$11.69,2538496,$12.13,$12.17,$11.65
09/01/2023,$12.24,1705817,$12.24,$12.51,$12.22
08/31/2023,$12.07,2905871,$12.01,$12.15,$11.90
08/30/2023,$12.10,1219402,$12.20,$12.20,$12.04
08/29/2023,$12.20,2008024,$11.80,$12.245,$11.73
08/28/2023,$11.80,1768416,$11.97,$12.17,$11.72
08/25/2023,$11.86,2389013,$12.11,$12.21,$11.7289
08/24/2023,$12.18,1863509,$12.35,$12.3962,$12.11
08/23/2023,$12.38,1699391,$12.17,$12.38,$12.04
08/22/2023,$12.29,2159595,$12.62,$12.77,$12.15
08/21/2023,$12.62,2099101,$12.22,$12.64,$12.1984
08/18/2023,$12.40,2325303,$12.07,$12.60,$11.96
08/17/2023,$12.39,3434340,$12.14,$12.785,$12.13
08/16/2023,$12.06,8744697,$12.59,$12.745,$11.95
08/15/2023,$13.44,3634207,$13.73,$13.76,$13.29
08/14/2023,$13.92,1990148,$14.15,$14.15,$13.7614
08/11/2023,$14.26,1425907,$14.00,$14.375,$13.90
08/10/2023,$14.21,1381689,$14.25,$14.43,$14.06
08/09/2023,$14.16,1848818,$14.52,$14.52,$13.94
08/08/2023,$14.52,2003593,$14.20,$14.69,$13.84
08/07/2023,$14.50,2017246,$15.05,$15.17,$14.41
08/04/2023,$15.04,1586078,$15.35,$15.4689,$14.79
08/03/2023,$15.37,2782005,$14.72,$15.41,$14.65
08/02/2023,$14.94,2510744,$14.84,$14.98,$14.23
08/01/2023,$15.15,2034764,$14.86,$15.255,$14.58
07/31/2023,$15.14,2599369,$15.22,$15.39,$14.83
07/28/2023,$15.22,3692449,$14.62,$15.39,$14.62
07/27/2023,$14.39,4573406,$14.49,$15.12,$14.305
07/26/2023,$14.20,2475826,$13.54,$14.27,$13.52
07/25/2023,$13.65,2087865,$14.00,$14.23,$13.57
07/24/2023,$13.88,1771092,$13.70,$14.00,$13.6564
07/21/2023,$13.77,3020167,$14.35,$14.43,$13.65
07/20/2023,$14.42,3766866,$14.25,$14.73,$14.20
07/19/2023,$14.24,5413875,$13.60,$14.44,$13.555
07/18/2023,$13.38,3544626,$12.83,$13.55,$12.815
07/17/2023,$12.80,2165702,$12.54,$12.85,$12.43
07/14/2023,$12.74,2442739,$12.83,$12.885,$12.41
07/13/2023,$12.78,2820695,$12.94,$12.99,$12.52
07/12/2023,$12.78,5807160,$13.02,$13.77,$12.76
07/11/2023,$13.38,3941756,$12.93,$13.595,$12.91
07/10/2023,$12.75,1593764,$12.80,$12.955,$12.62
07/07/2023,$12.71,2055107,$12.69,$13.06,$12.69
07/06/2023,$12.66,2204321,$12.59,$12.74,$12.27
07/05/2023,$12.84,2222947,$12.74,$13.08,$12.63
07/03/2023,$12.80,2531180,$12.40,$13.0389,$12.39
