Date,Close/Last,Volume,Open,High,Low
01/05/2024,$44.05,2552361,$41.92,$44.14,$41.77
01/04/2024,$42.64,1950209,$42.01,$43.04,$41.80
01/03/2024,$42.00,3048346,$43.26,$43.44,$41.855
01/02/2024,$44.14,2256698,$43.50,$44.54,$43.00
12/29/2023,$43.87,1421105,$44.65,$44.65,$43.72
12/28/2023,$44.66,1125877,$44.06,$44.70,$44.00
12/27/2023,$44.51,1345111,$44.96,$44.96,$44.30
12/26/2023,$44.88,1131650,$44.10,$45.10,$43.72
12/22/2023,$44.00,1534519,$44.28,$44.78,$43.52
12/21/2023,$43.62,1728529,$43.35,$43.82,$42.91
12/20/2023,$42.54,2062191,$43.70,$44.1691,$42.31
12/19/2023,$43.93,1876363,$43.21,$44.09,$42.81
12/18/2023,$43.04,2066596,$44.43,$44.47,$43.04
12/15/2023,$43.84,6252078,$45.53,$45.82,$43.31
12/14/2023,$45.67,6563849,$43.82,$46.15,$43.741
12/13/2023,$41.82,3604295,$38.22,$41.84,$38.085
12/12/2023,$38.13,1570335,$38.47,$38.8332,$37.91
12/11/2023,$38.63,1241182,$38.77,$39.089,$38.43
12/08/2023,$38.93,2026913,$38.50,$39.64,$38.15
12/07/2023,$38.38,1610342,$37.34,$38.485,$37.18
12/06/2023,$37.15,2393713,$37.90,$38.6899,$37.05
12/05/2023,$37.39,2501472,$38.31,$38.35,$37.31
12/04/2023,$38.68,2523441,$37.71,$39.03,$37.52
12/01/2023,$38.32,4598957,$35.40,$39.01,$35.2072
11/30/2023,$35.63,2687171,$35.53,$36.11,$35.07
11/29/2023,$35.44,2755333,$34.69,$36.32,$34.69
11/28/2023,$34.55,1922772,$34.30,$34.57,$33.74
11/27/2023,$34.40,1424220,$34.29,$34.50,$33.66
11/24/2023,$34.35,583972,$34.59,$34.78,$34.13
11/22/2023,$34.41,1441417,$34.69,$35.00,$34.17
11/21/2023,$34.31,2311647,$35.08,$35.29,$34.035
11/20/2023,$35.78,1590095,$36.17,$36.17,$35.56
11/17/2023,$36.07,2136536,$36.25,$36.47,$35.40
11/16/2023,$35.71,2217291,$35.95,$36.00,$35.06
11/15/2023,$36.08,2444356,$35.36,$36.525,$35.2534
11/14/2023,$35.37,3270303,$34.37,$36.05,$34.36
11/13/2023,$32.71,1240323,$32.64,$32.89,$32.24
11/10/2023,$32.92,1649177,$32.96,$33.15,$32.18
11/09/2023,$32.55,1874987,$33.90,$33.92,$32.39
11/08/2023,$33.76,1755205,$34.15,$34.17,$33.31
11/07/2023,$34.10,1763663,$34.10,$34.29,$33.66
11/06/2023,$34.18,1551912,$34.87,$35.09,$33.85
11/03/2023,$34.76,2599568,$34.39,$35.08,$34.28
11/02/2023,$33.23,3026788,$31.63,$33.355,$31.63
11/01/2023,$31.02,2261807,$30.74,$31.13,$30.33
10/31/2023,$30.85,2387425,$30.08,$30.975,$29.78
10/30/2023,$29.98,2837137,$29.84,$30.18,$29.32
10/27/2023,$29.45,2498298,$30.59,$30.67,$28.98
10/26/2023,$30.45,4151701,$29.56,$30.86,$29.56
10/25/2023,$29.63,2713325,$29.51,$29.97,$28.90
10/24/2023,$29.86,2592640,$30.13,$30.46,$29.33
10/23/2023,$30.05,4626184,$29.64,$30.87,$29.51
10/20/2023,$29.96,6615141,$32.00,$32.10,$29.62
10/19/2023,$32.24,8547896,$33.98,$34.45,$32.22
10/18/2023,$35.69,3606505,$36.33,$36.61,$35.51
10/17/2023,$36.74,4232848,$35.53,$37.19,$35.5044
10/16/2023,$35.92,2388573,$35.09,$36.01,$34.69
10/13/2023,$34.57,2202600,$35.69,$35.8557,$34.33
10/12/2023,$35.20,2396246,$35.63,$35.65,$34.52
10/11/2023,$35.65,2827266,$35.24,$36.02,$35.11
10/10/2023,$35.12,3430257,$34.46,$35.46,$34.30
10/09/2023,$33.97,2862720,$33.30,$34.23,$33.245
10/06/2023,$33.69,3569127,$32.67,$34.14,$32.435
10/05/2023,$33.40,5142732,$33.25,$33.71,$32.83
10/04/2023,$33.33,2694955,$33.12,$33.42,$32.2401
10/03/2023,$32.92,2789792,$33.22,$33.35,$32.25
10/02/2023,$33.49,2731689,$34.89,$35.21,$33.215
09/29/2023,$34.89,2926878,$34.72,$35.74,$34.39
09/28/2023,$33.95,2233495,$33.18,$34.38,$32.54
09/27/2023,$33.17,3779280,$33.42,$34.06,$33.11
09/26/2023,$33.99,1586152,$33.84,$34.70,$33.84
09/25/2023,$34.58,1370575,$33.77,$34.60,$33.64
09/22/2023,$34.10,2364027,$34.28,$34.52,$33.645
09/21/2023,$34.16,3055268,$35.03,$35.22,$34.085
09/20/2023,$35.30,1847212,$36.14,$36.68,$35.28
09/19/2023,$35.89,2062716,$36.43,$36.62,$35.47
09/18/2023,$36.18,1551097,$36.80,$37.00,$36.03
09/15/2023,$36.92,5451238,$36.72,$37.27,$36.45
09/14/2023,$37.08,2563455,$36.71,$37.21,$36.34
09/13/2023,$36.13,4247164,$37.41,$37.41,$35.35
09/12/2023,$37.09,5495027,$36.11,$37.63,$35.89
09/11/2023,$34.73,2319700,$35.12,$35.68,$34.61
09/08/2023,$34.92,4094845,$34.03,$34.95,$32.935
09/07/2023,$33.86,2616412,$34.53,$35.06,$33.71
09/06/2023,$34.82,2945622,$35.60,$35.94,$34.22
09/05/2023,$36.13,2025142,$36.08,$37.01,$36.08
09/01/2023,$36.44,2812998,$35.76,$36.60,$35.76
08/31/2023,$35.50,2110019,$35.08,$35.54,$34.86
08/30/2023,$34.99,1922440,$35.45,$35.58,$34.88
08/29/2023,$35.44,1840099,$34.91,$35.71,$34.44
08/28/2023,$34.90,1632455,$34.50,$35.195,$34.32
08/25/2023,$34.13,1423490,$34.64,$35.00,$33.75
08/24/2023,$34.47,2555178,$34.14,$35.47,$34.001
08/23/2023,$33.98,2004614,$33.09,$34.075,$32.6509
08/22/2023,$33.09,3133014,$34.50,$34.58,$32.90
08/21/2023,$34.53,2127738,$34.87,$35.00,$33.9299
08/18/2023,$34.73,1952356,$34.29,$34.935,$34.15
08/17/2023,$34.96,1951152,$35.23,$35.30,$34.395
08/16/2023,$34.84,2202414,$35.28,$35.54,$34.7537
08/15/2023,$35.73,2953160,$36.50,$36.79,$35.66
08/14/2023,$37.41,2353718,$37.78,$37.781,$37.03
08/11/2023,$38.30,2572962,$37.03,$38.65,$36.89
08/10/2023,$37.53,2381530,$37.67,$38.09,$37.08
08/09/2023,$37.40,2902124,$37.85,$38.61,$37.26
08/08/2023,$38.18,3169179,$36.68,$38.21,$35.95
08/07/2023,$38.14,2492596,$37.92,$38.505,$37.70
08/04/2023,$37.92,2443855,$37.27,$38.56,$37.03
08/03/2023,$37.41,2414020,$36.50,$37.53,$36.11
08/02/2023,$36.63,3050361,$36.17,$37.00,$35.78
08/01/2023,$37.10,3266968,$38.65,$38.68,$36.53
07/31/2023,$38.25,6195327,$38.92,$39.11,$37.65
07/28/2023,$38.69,2650416,$38.29,$38.97,$37.84
07/27/2023,$37.61,4411837,$38.66,$39.64,$37.35
07/26/2023,$38.45,4360724,$36.80,$38.64,$36.79
07/25/2023,$35.78,5271296,$37.53,$37.59,$35.423
07/24/2023,$37.05,4933333,$35.70,$37.425,$35.66
07/21/2023,$36.11,5778267,$38.07,$38.15,$35.86
07/20/2023,$37.90,10134710,$37.02,$38.46,$36.22
07/19/2023,$34.46,7771326,$32.80,$34.84,$32.51
07/18/2023,$32.43,4959625,$31.48,$33.27,$31.345
07/17/2023,$31.36,2247007,$30.63,$31.505,$30.34
07/14/2023,$30.70,4588440,$32.70,$32.70,$30.58
07/13/2023,$32.00,2940850,$31.52,$32.335,$31.12
07/12/2023,$31.28,5962622,$31.43,$32.21,$31.07
07/11/2023,$30.425,4056638,$29.14,$31.025,$29.07
07/10/2023,$29.56,3528684,$28.80,$29.80,$28.51
07/07/2023,$28.98,4501767,$27.78,$29.365,$27.66
07/06/2023,$27.78,4488133,$27.38,$27.825,$26.69
07/05/2023,$27.96,3183453,$27.75,$28.68,$27.43
07/03/2023,$28.14,2618355,$27.26,$28.18,$27.165
06/30/2023,$26.86,3699752,$27.62,$27.7147,$26.77
06/29/2023,$27.28,2917915,$27.43,$27.89,$27.06
06/28/2023,$27.09,2499985,$27.04,$27.1804,$26.555
06/27/2023,$27.30,2377770,$27.13,$27.52,$26.575
06/26/2023,$27.08,2154220,$26.92,$27.67,$26.87
06/23/2023,$26.60,3829616,$26.628,$26.92,$26.355
06/22/2023,$26.97,3925321,$27.77,$27.85,$26.6901
06/21/2023,$27.95,2879055,$27.77,$28.25,$27.4601
06/20/2023,$27.85,3999599,$28.44,$28.50,$27.27
06/16/2023,$28.63,5291072,$28.89,$29.14,$27.93
06/15/2023,$28.98,4510930,$27.275,$29.17,$27.07
06/14/2023,$28.06,6567677,$29.53,$29.78,$27.83
06/13/2023,$29.77,7691631,$28.79,$30.31,$28.14
06/12/2023,$30.24,5415448,$30.96,$32.34,$29.74
06/09/2023,$30.87,4032073,$32.00,$32.15,$30.59
06/08/2023,$32.005,5011967,$31.30,$32.19,$30.65
06/07/2023,$31.49,4618367,$30.56,$31.64,$29.89
06/06/2023,$30.12,5208241,$28.50,$31.03,$28.43
06/05/2023,$28.72,3573295,$29.285,$29.65,$28.60
06/02/2023,$29.07,5293894,$28.48,$29.56,$28.17
06/01/2023,$27.67,4321547,$27.81,$28.18,$26.58
05/31/2023,$27.29,4199299,$28.54,$28.63,$27.14
05/30/2023,$28.91,4164129,$28.94,$29.24,$27.80
05/26/2023,$28.66,3016433,$28.43,$28.87,$27.61
05/25/2023,$28.32,5220899,$29.07,$29.38,$27.93
05/24/2023,$28.97,5329192,$28.99,$29.27,$28.26
05/23/2023,$29.39,9434396,$28.87,$30.67,$28.61
05/22/2023,$28.09,8414928,$27.32,$28.77,$27.02
05/19/2023,$26.77,7298016,$27.26,$27.66,$25.77
05/18/2023,$27.24,9029650,$26.27,$27.47,$25.7859
05/17/2023,$26.17,9082428,$24.365,$26.33,$24.22
05/16/2023,$23.76,4717189,$24.40,$24.82,$23.68
05/15/2023,$24.33,6312430,$22.67,$24.35,$22.49
05/12/2023,$22.43,6219089,$22.96,$23.00,$21.96
05/11/2023,$22.68,7247671,$23.10,$23.783,$22.44
05/10/2023,$23.75,5689083,$25.07,$25.35,$23.39
05/09/2023,$24.42,4999291,$23.90,$24.88,$23.50
05/08/2023,$24.26,12038650,$25.31,$26.46,$23.64
05/05/2023,$23.76,14691170,$23.29,$24.49,$22.205
05/04/2023,$19.93,25522970,$21.79,$22.30,$18.26
05/03/2023,$22.66,9993668,$24.33,$25.185,$22.23
05/02/2023,$23.92,18557270,$26.66,$26.66,$20.41
05/01/2023,$26.82,4104991,$27.94,$28.01,$26.77
04/28/2023,$27.86,5653300,$26.39,$28.29,$26.24
04/27/2023,$26.58,3760280,$26.36,$27.23,$26.32
04/26/2023,$26.39,4083035,$26.94,$27.22,$25.91
04/25/2023,$26.73,6228667,$27.76,$27.99,$26.31
04/24/2023,$28.27,5176869,$29.35,$29.59,$28.07
04/21/2023,$29.35,6261327,$30.87,$30.89,$29.1501
04/20/2023,$31.12,8219029,$31.13,$31.82,$30.38
04/19/2023,$32.72,7933462,$31.03,$33.13,$30.61
04/18/2023,$30.46,3864413,$31.11,$31.12,$29.67
04/17/2023,$30.93,4398487,$29.81,$31.0463,$29.07
04/14/2023,$29.95,3963850,$31.84,$31.89,$29.72
04/13/2023,$31.15,3178107,$30.46,$31.31,$29.79
04/12/2023,$30.29,3252002,$30.21,$30.78,$29.54
04/11/2023,$30.11,4394030,$30.12,$30.57,$29.76
04/10/2023,$29.87,3738598,$29.13,$30.09,$28.70
04/06/2023,$29.39,5852998,$28.50,$30.02,$28.50
04/05/2023,$28.63,9830299,$27.73,$28.83,$26.93
04/04/2023,$27.71,6001619,$29.17,$29.345,$26.88
04/03/2023,$29.12,4615145,$30.29,$30.5199,$28.855
03/31/2023,$29.93,5143314,$30.51,$30.88,$29.30
03/30/2023,$30.30,3683856,$31.47,$31.88,$30.07
03/29/2023,$31.04,3195979,$30.50,$31.31,$30.13
03/28/2023,$29.95,3636363,$29.38,$30.07,$28.96
03/27/2023,$29.33,7964055,$29.88,$30.99,$28.42
03/24/2023,$28.25,10735110,$27.325,$28.85,$26.04
03/23/2023,$27.45,9700722,$30.39,$30.78,$27.00
03/22/2023,$30.12,7014359,$32.29,$33.04,$30.09
03/21/2023,$32.29,9474366,$31.73,$33.08,$31.39
03/20/2023,$30.18,7680723,$30.85,$32.62,$29.80
03/17/2023,$29.94,11221740,$31.67,$31.69,$29.35
03/16/2023,$32.11,11466950,$29.94,$33.95,$28.06
03/15/2023,$30.71,9338727,$29.93,$32.00,$28.52
03/14/2023,$31.31,17256970,$36.18,$36.99,$27.69
03/13/2023,$29.97,26129890,$26.25,$37.25,$22.55
03/10/2023,$40.35,11346600,$37.688,$42.5755,$34.39
03/09/2023,$41.36,5340941,$45.83,$45.91,$40.81
03/08/2023,$46.68,1725418,$46.66,$47.38,$46.28
03/07/2023,$46.44,2200195,$48.33,$48.39,$45.96
