Date,Close/Last,Volume,Open,High,Low
06/21/2024,$40.40,6499933,$39.96,$40.55,$39.1123
06/20/2024,$38.98,7089761,$38.10,$39.11,$37.90
06/18/2024,$37.49,3898413,$37.01,$38.23,$36.79
06/17/2024,$37.40,3847296,$37.52,$37.73,$36.90
06/14/2024,$37.90,3228475,$37.86,$38.15,$37.21
06/13/2024,$38.54,4360673,$39.52,$39.85,$38.34
06/12/2024,$39.71,3301571,$41.64,$42.25,$39.69
06/11/2024,$40.21,3520311,$40.25,$40.46,$39.56
06/10/2024,$41.16,2950620,$41.00,$41.59,$40.64
06/07/2024,$40.91,3982794,$41.60,$41.8688,$40.42
06/06/2024,$42.65,3154841,$42.51,$43.005,$42.293
06/05/2024,$42.59,3355544,$41.85,$42.74,$41.78
06/04/2024,$42.01,6500590,$43.01,$43.2798,$41.28
06/03/2024,$44.01,3887113,$44.66,$44.96,$43.7501
05/31/2024,$44.27,4527342,$44.76,$45.46,$43.30
05/30/2024,$44.54,5824970,$43.29,$45.48,$43.18
05/29/2024,$43.93,5275412,$42.47,$44.01,$42.27
05/28/2024,$43.20,7888482,$42.80,$43.60,$42.4358
05/24/2024,$41.64,2921734,$41.59,$42.13,$41.36
05/23/2024,$41.05,4764061,$42.20,$42.2554,$40.33
05/22/2024,$42.15,6324183,$42.97,$42.97,$41.80
05/21/2024,$44.09,9390676,$42.27,$44.57,$42.18
05/20/2024,$42.53,7220293,$41.17,$42.84,$41.02
05/17/2024,$41.22,4260672,$40.74,$41.55,$40.66
05/16/2024,$40.15,3743650,$40.00,$40.80,$39.80
05/15/2024,$40.04,5737070,$40.40,$40.50,$39.07
05/14/2024,$39.83,5399150,$40.38,$40.84,$39.509
05/13/2024,$40.16,8841687,$37.65,$40.31,$37.58
05/10/2024,$37.12,4540832,$37.63,$37.78,$36.86
05/09/2024,$37.36,4988988,$36.86,$37.69,$36.47
05/08/2024,$36.64,4058778,$36.70,$36.96,$36.30
05/07/2024,$37.57,3073877,$37.17,$37.79,$37.13
05/06/2024,$37.32,3769492,$37.33,$37.9383,$37.005
05/03/2024,$36.77,5496634,$36.70,$37.20,$36.25
05/02/2024,$35.94,5784373,$34.11,$35.975,$34.025
05/01/2024,$34.25,8387860,$35.20,$35.47,$33.88
04/30/2024,$35.14,7992998,$36.76,$36.92,$35.11
04/29/2024,$37.65,5738173,$36.88,$38.20,$36.65
04/26/2024,$36.88,5653338,$36.51,$37.39,$36.23
