Date,Close/Last,Volume,Open,High,Low
06/21/2024,$11.20,28098080,$11.215,$11.34,$11.11
06/20/2024,$11.24,21364430,$11.30,$11.31,$11.19
06/18/2024,$11.28,18841480,$11.41,$11.50,$11.27
06/17/2024,$11.44,30074130,$11.22,$11.4887,$11.21
06/14/2024,$11.28,42272470,$11.32,$11.36,$11.09
06/13/2024,$11.44,33289950,$11.45,$11.47,$11.22
06/12/2024,$11.50,40769750,$11.40,$11.685,$11.39
06/11/2024,$11.28,25439680,$11.41,$11.45,$11.26
06/10/2024,$11.49,23421040,$11.43,$11.57,$11.37
06/07/2024,$11.50,29411430,$11.36,$11.565,$11.35
06/06/2024,$11.43,35840570,$11.58,$11.73,$11.315
06/05/2024,$11.62,34340910,$11.51,$11.765,$11.45
06/04/2024,$11.50,39161530,$11.54,$11.79,$11.48
06/03/2024,$11.53,52899040,$11.60,$11.945,$11.50
05/31/2024,$11.50,60868410,$11.51,$11.57,$11.25
05/30/2024,$11.44,57004640,$11.76,$11.78,$11.385
05/29/2024,$11.62,158980400,$12.16,$12.17,$11.31
05/28/2024,$13.44,32710290,$13.85,$13.905,$13.42
05/24/2024,$13.84,19605630,$13.87,$14.03,$13.66
05/23/2024,$13.82,29089850,$14.13,$14.135,$13.72
05/22/2024,$14.10,19136430,$14.07,$14.25,$14.01
05/21/2024,$14.03,22692860,$14.43,$14.489,$14.01
05/20/2024,$14.52,26818850,$14.77,$14.775,$14.415
05/17/2024,$14.73,18472060,$14.85,$14.99,$14.72
05/16/2024,$14.79,22652520,$15.00,$15.08,$14.66
05/15/2024,$14.94,25983630,$15.20,$15.25,$14.9101
05/14/2024,$15.19,27970450,$15.09,$15.36,$15.07
05/13/2024,$14.93,33380050,$14.54,$15.07,$14.52
05/10/2024,$14.40,16180650,$14.54,$14.61,$14.32
05/09/2024,$14.48,23590230,$14.36,$14.63,$14.32
05/08/2024,$14.42,22832370,$14.255,$14.52,$14.18
05/07/2024,$14.25,25770490,$14.54,$14.625,$14.1399
05/06/2024,$14.65,46744350,$13.92,$14.75,$13.92
05/03/2024,$13.85,22056620,$14.00,$14.07,$13.72
05/02/2024,$13.86,24191510,$13.78,$13.90,$13.69
05/01/2024,$13.58,28428270,$13.50,$13.81,$13.33
04/30/2024,$13.51,25788920,$13.85,$13.93,$13.50
04/29/2024,$13.98,28817430,$13.85,$14.02,$13.73
04/26/2024,$13.88,36527840,$14.07,$14.09,$13.635
04/25/2024,$14.13,58362950,$14.21,$14.28,$13.45
04/24/2024,$13.92,41035100,$14.22,$14.33,$13.82
04/23/2024,$14.23,40237310,$13.962,$14.4399,$13.88
04/22/2024,$14.53,27763770,$14.28,$14.68,$14.18
04/19/2024,$14.11,27447600,$13.88,$14.275,$13.86
04/18/2024,$14.02,34966390,$14.04,$14.34,$13.96
04/17/2024,$13.89,52414790,$13.45,$13.97,$13.38
04/16/2024,$13.03,26477190,$12.945,$13.14,$12.72
04/15/2024,$12.94,27451670,$13.28,$13.47,$12.90
04/12/2024,$13.15,35571100,$13.24,$13.2988,$13.02
04/11/2024,$13.62,27814220,$13.44,$13.72,$13.304
04/10/2024,$13.41,49024130,$14.01,$14.145,$13.30
04/09/2024,$13.95,27841940,$13.96,$14.065,$13.88
04/08/2024,$13.90,28521010,$13.82,$14.08,$13.74
04/05/2024,$13.76,30632130,$13.83,$13.94,$13.70
04/04/2024,$13.83,47483610,$14.24,$14.35,$13.76
04/03/2024,$14.16,33357730,$14.30,$14.479,$14.05
04/02/2024,$14.40,34155380,$15.062,$15.11,$14.36
04/01/2024,$15.41,23249620,$15.42,$15.61,$15.3205
03/28/2024,$15.35,36396040,$15.28,$15.495,$15.125
03/27/2024,$15.30,24789340,$15.00,$15.30,$14.90
03/26/2024,$14.92,20898510,$14.99,$15.12,$14.90
03/25/2024,$14.92,21392360,$14.69,$14.93,$14.6299
03/22/2024,$14.82,16151690,$14.71,$14.88,$14.645
03/21/2024,$14.78,25527560,$14.62,$14.815,$14.60
03/20/2024,$14.57,33974560,$13.96,$14.58,$13.92
03/19/2024,$13.93,19305790,$14.08,$14.11,$13.90
03/18/2024,$14.11,23693800,$13.98,$14.17,$13.86
03/15/2024,$13.96,21114000,$13.96,$14.16,$13.88
03/14/2024,$13.99,24683840,$13.96,$14.03,$13.78
03/13/2024,$14.00,26375200,$13.92,$14.18,$13.86
03/12/2024,$13.96,48594880,$14.19,$14.38,$13.80
03/11/2024,$14.65,23617160,$14.60,$14.67,$14.42
03/08/2024,$14.68,28464450,$14.94,$15.1482,$14.66
03/07/2024,$14.90,23657350,$14.85,$15.00,$14.81
03/06/2024,$14.88,31408710,$14.80,$14.98,$14.62
03/05/2024,$14.67,43648030,$14.75,$14.7657,$14.29
03/04/2024,$14.81,65053050,$15.70,$16.15,$14.81
03/01/2024,$15.66,25751940,$15.695,$15.695,$15.374
02/29/2024,$15.68,33255940,$15.55,$15.79,$15.45
02/28/2024,$15.46,18194560,$15.36,$15.58,$15.31
02/27/2024,$15.54,25223370,$15.545,$15.669,$15.38
02/26/2024,$15.28,23675760,$15.13,$15.48,$15.13
02/23/2024,$15.13,22914860,$15.15,$15.29,$14.95
02/22/2024,$15.24,35702480,$14.935,$15.28,$14.89
02/21/2024,$14.79,23032390,$14.59,$14.86,$14.565
02/20/2024,$14.70,30253070,$14.50,$14.95,$14.49
02/16/2024,$14.64,21563210,$14.73,$14.89,$14.524
02/15/2024,$14.90,25314620,$15.02,$15.145,$14.84
02/14/2024,$14.86,28226950,$14.74,$14.97,$14.68
02/13/2024,$14.61,35285670,$14.69,$14.87,$14.41
02/12/2024,$14.93,27722310,$14.80,$15.10,$14.775
02/09/2024,$14.88,26960670,$15.03,$15.18,$14.71
02/08/2024,$14.95,28024320,$14.98,$14.99,$14.605
02/07/2024,$14.91,31178210,$14.92,$15.03,$14.7101
02/06/2024,$14.90,33592450,$14.24,$14.95,$14.20
02/05/2024,$14.26,25289600,$14.36,$14.39,$14.11
02/02/2024,$14.56,33135660,$14.18,$14.67,$14.135
02/01/2024,$14.34,39247220,$14.35,$14.3999,$13.8727
01/31/2024,$14.23,31538760,$14.49,$14.61,$14.21
01/30/2024,$14.53,24943070,$14.79,$14.8793,$14.53
01/29/2024,$14.94,36835260,$15.37,$15.39,$14.86
01/26/2024,$15.13,45618620,$15.55,$15.84,$15.00
01/25/2024,$15.36,96168340,$14.59,$15.46,$14.52
01/24/2024,$13.93,42219620,$14.16,$14.18,$13.8501
01/23/2024,$14.00,49961920,$14.135,$14.4701,$13.93
01/22/2024,$13.62,38029500,$13.96,$14.08,$13.54
01/19/2024,$13.66,38805460,$13.83,$13.83,$13.41
01/18/2024,$13.82,58528150,$13.06,$13.865,$13.01
01/17/2024,$12.93,36991540,$12.96,$13.21,$12.87
01/16/2024,$13.19,55891510,$13.08,$13.20,$12.78
01/12/2024,$13.21,80523100,$13.93,$13.98,$13.19
01/11/2024,$14.59,33047690,$14.48,$14.63,$14.24
01/10/2024,$14.35,29831220,$14.34,$14.41,$14.20
01/09/2024,$14.38,35790720,$14.51,$14.63,$14.36
01/08/2024,$14.58,61134070,$14.025,$14.67,$14.02
01/05/2024,$13.60,37541710,$13.05,$13.67,$13.01
01/04/2024,$13.09,29105780,$13.01,$13.25,$12.95
01/03/2024,$12.95,41757730,$13.15,$13.17,$12.89
01/02/2024,$13.44,34607460,$13.645,$13.72,$13.39
12/29/2023,$13.74,24308320,$13.95,$13.97,$13.69
12/28/2023,$13.98,17093440,$13.92,$14.04,$13.8202
12/27/2023,$13.99,23428530,$14.10,$14.18,$13.91
12/26/2023,$14.11,22157900,$14.25,$14.26,$14.04
