Date,Close/Last,Volume,Open,High,Low
06/21/2024,$149.57,7648402,$148.76,$150.00,$147.25
06/20/2024,$147.88,2874248,$147.77,$149.75,$147.60
06/18/2024,$147.29,3316730,$149.90,$150.549,$146.90
06/17/2024,$149.50,5158771,$147.00,$150.12,$146.775
06/14/2024,$145.97,2754612,$145.50,$146.05,$144.28
06/13/2024,$146.10,4450397,$148.99,$149.00,$143.73
06/12/2024,$149.32,3579847,$149.99,$150.29,$148.621
06/11/2024,$147.75,3285755,$147.97,$148.795,$146.48
06/10/2024,$148.07,3080317,$146.01,$148.32,$146.00
06/07/2024,$146.66,2595555,$146.20,$147.03,$145.38
06/06/2024,$147.00,3463102,$145.51,$148.79,$145.155
06/05/2024,$145.78,3121512,$147.98,$148.70,$145.141
06/04/2024,$147.08,3048535,$145.82,$147.92,$145.44
06/03/2024,$146.25,3843406,$145.74,$146.96,$144.36
05/31/2024,$144.93,3778585,$145.78,$146.43,$142.57
05/30/2024,$145.52,3576681,$145.40,$147.59,$144.41
05/29/2024,$146.61,2570900,$144.88,$147.13,$144.7342
05/28/2024,$147.01,5741611,$146.00,$147.87,$145.11
05/24/2024,$144.47,4497760,$142.50,$145.97,$142.30
05/23/2024,$141.04,3900851,$142.58,$143.44,$140.82
05/22/2024,$142.71,3190821,$143.94,$144.21,$142.36
05/21/2024,$144.10,4484983,$145.71,$145.71,$144.09
05/20/2024,$146.37,3747439,$146.18,$146.48,$145.21
05/17/2024,$145.66,3279035,$146.81,$147.495,$145.305
05/16/2024,$147.19,3827765,$146.34,$147.79,$145.85
05/15/2024,$145.80,5996014,$147.57,$147.69,$144.75
05/14/2024,$146.70,4167440,$149.40,$149.40,$146.31
05/13/2024,$149.13,5647508,$147.05,$149.24,$145.70
05/10/2024,$146.32,5524840,$147.75,$148.12,$144.63
05/09/2024,$147.05,14802560,$146.60,$150.005,$145.5701
05/08/2024,$157.90,8236465,$157.10,$158.62,$155.84
05/07/2024,$159.81,2916232,$161.81,$162.88,$159.75
05/06/2024,$162.00,2912176,$161.00,$162.41,$160.17
05/03/2024,$159.71,4529908,$161.81,$165.50,$159.15
05/02/2024,$158.33,4778430,$157.21,$158.40,$153.20
05/01/2024,$156.16,2752108,$157.58,$160.95,$156.00
04/30/2024,$158.57,3017911,$160.56,$162.09,$158.52
04/29/2024,$162.25,2312554,$164.75,$165.50,$161.28
04/26/2024,$164.23,2821077,$163.68,$165.16,$162.77
04/25/2024,$163.01,2401828,$161.51,$163.73,$159.50
04/24/2024,$162.84,3854493,$164.475,$166.7446,$161.09
04/23/2024,$160.95,3455413,$157.24,$161.14,$156.70
04/22/2024,$156.61,3029952,$156.19,$157.25,$153.765
04/19/2024,$155.01,3904759,$159.54,$160.335,$154.56
04/18/2024,$160.10,3930357,$159.60,$162.94,$159.21
04/17/2024,$158.37,3905042,$158.45,$159.70,$156.41
04/16/2024,$156.66,2728607,$155.83,$158.94,$155.30
04/15/2024,$155.60,3723317,$161.81,$162.90,$154.41
04/12/2024,$159.37,3700504,$162.42,$162.7123,$158.78
04/11/2024,$165.42,3580302,$159.00,$166.22,$158.90
04/10/2024,$160.28,2478757,$159.63,$160.96,$158.63
04/09/2024,$162.66,2290960,$161.55,$163.205,$159.91
04/08/2024,$160.27,2299005,$160.36,$161.18,$159.29
04/05/2024,$161.77,2225889,$159.15,$162.71,$158.90
04/04/2024,$158.84,3539700,$161.22,$163.65,$158.52
04/03/2024,$159.34,2288078,$158.75,$161.33,$158.58
04/02/2024,$160.11,4000867,$160.95,$160.98,$158.68
04/01/2024,$163.37,2496282,$166.43,$166.72,$162.75
03/28/2024,$164.96,3415958,$166.57,$167.38,$164.59
03/27/2024,$166.41,3921949,$169.11,$169.11,$165.50
03/26/2024,$167.39,2747663,$169.69,$170.00,$167.32
03/25/2024,$167.99,3216070,$167.86,$169.08,$166.28
03/22/2024,$167.86,2837023,$167.00,$168.80,$166.6401
03/21/2024,$168.18,5986505,$165.81,$170.10,$165.00
03/20/2024,$164.71,4766298,$162.39,$165.75,$162.265
03/19/2024,$161.79,3420732,$161.49,$164.0999,$161.055
03/18/2024,$161.86,4296942,$161.945,$162.87,$160.60
03/15/2024,$160.64,7153845,$166.39,$166.5225,$160.16
03/14/2024,$166.44,5078143,$165.74,$166.7199,$162.72
03/13/2024,$164.76,7502821,$162.42,$168.00,$160.69
03/12/2024,$166.67,3945890,$163.00,$167.00,$162.73
03/11/2024,$162.99,3149599,$163.76,$164.26,$161.975
03/08/2024,$164.91,4105743,$166.00,$168.19,$163.48
03/07/2024,$163.54,3810295,$165.00,$165.385,$162.24
03/06/2024,$163.87,5167916,$160.10,$164.59,$160.07
03/05/2024,$159.33,4714293,$157.20,$159.98,$156.14
03/04/2024,$158.09,4403219,$159.90,$163.015,$157.93
03/01/2024,$159.72,5367283,$157.23,$160.98,$156.8106
02/29/2024,$157.47,8002291,$153.40,$160.00,$153.22
02/28/2024,$153.43,4329074,$152.03,$154.90,$151.79
02/27/2024,$152.06,4623715,$150.00,$152.47,$149.23
02/26/2024,$149.27,5277943,$149.96,$150.18,$148.56
02/23/2024,$152.66,4851068,$153.27,$155.30,$150.825
02/22/2024,$155.26,6115025,$151.02,$155.70,$150.265
02/21/2024,$149.24,4570787,$145.98,$149.26,$145.396
02/20/2024,$148.15,5229688,$150.31,$150.68,$145.88
02/16/2024,$152.51,6520114,$156.10,$156.10,$151.78
02/15/2024,$157.69,11922990,$148.91,$158.27,$148.75
02/14/2024,$148.20,16021810,$146.16,$149.53,$142.57
02/13/2024,$150.82,11801680,$149.21,$153.02,$148.58
02/12/2024,$153.80,7909487,$148.68,$157.345,$148.34
02/09/2024,$147.595,5006763,$145.84,$148.68,$145.18
02/08/2024,$150.54,3508283,$149.25,$150.67,$148.06
02/07/2024,$147.55,4214118,$145.12,$148.77,$143.86
02/06/2024,$144.53,3697593,$145.10,$145.13,$142.9517
02/05/2024,$144.78,3010888,$146.09,$146.40,$142.68
02/02/2024,$146.55,4252797,$143.99,$148.08,$141.2401
02/01/2024,$146.49,3416682,$144.80,$146.85,$143.65
01/31/2024,$144.14,4126572,$148.645,$148.74,$143.92
01/30/2024,$149.44,3884021,$150.54,$151.03,$148.68
01/29/2024,$152.70,5316315,$150.00,$153.38,$148.54
01/26/2024,$149.62,11342570,$142.11,$151.53,$141.49
01/25/2024,$142.11,3677549,$143.20,$143.29,$140.3679
01/24/2024,$141.19,4857241,$143.81,$144.10,$139.58
01/23/2024,$142.30,3882149,$142.75,$143.93,$140.52
01/22/2024,$142.01,4482914,$141.155,$144.05,$140.90
01/19/2024,$139.93,4089098,$138.60,$140.285,$136.32
01/18/2024,$137.04,5273027,$137.00,$139.535,$135.225
01/17/2024,$134.98,3039656,$132.84,$135.09,$131.10
01/16/2024,$135.02,5514773,$135.90,$136.00,$133.67
01/12/2024,$137.14,2481982,$139.35,$140.99,$137.13
01/11/2024,$139.45,2383518,$140.71,$141.20,$137.55
01/10/2024,$139.76,2492691,$139.20,$140.825,$138.70
01/09/2024,$139.53,3560892,$138.52,$139.54,$137.79
01/08/2024,$140.08,4179708,$137.31,$140.25,$136.61
01/05/2024,$135.98,4006629,$134.25,$136.65,$133.895
01/04/2024,$133.72,4056898,$132.86,$137.0344,$132.50
01/03/2024,$133.42,4266614,$132.71,$134.54,$130.82
01/02/2024,$134.48,3485247,$134.43,$135.60,$133.34
12/29/2023,$136.14,3076112,$136.71,$137.87,$135.43
12/28/2023,$137.00,2770816,$136.55,$137.19,$135.695
12/27/2023,$136.55,3989552,$139.135,$139.135,$136.05
12/26/2023,$138.72,4384804,$141.00,$141.00,$137.77
