Date,Close/Last,Volume,Open,High,Low
06/21/2024,$105.72,10329150,$106.66,$106.93,$105.24
06/20/2024,$106.57,9155091,$103.525,$106.84,$103.47
06/18/2024,$103.99,4500985,$103.26,$104.0908,$103.25
06/17/2024,$103.45,3936410,$102.91,$103.94,$102.54
06/14/2024,$103.68,3683145,$103.29,$103.72,$102.43
06/13/2024,$103.45,4719494,$103.635,$103.70,$102.60
06/12/2024,$104.38,4569029,$105.91,$105.91,$104.29
06/11/2024,$105.81,7536183,$107.32,$107.32,$105.53
06/10/2024,$107.49,8556495,$107.63,$108.98,$107.04
06/07/2024,$107.58,8666641,$103.86,$108.13,$103.3701
06/06/2024,$104.27,9835466,$103.29,$105.00,$102.81
06/05/2024,$103.23,3302504,$102.93,$103.42,$101.98
06/04/2024,$103.43,3880402,$102.80,$103.49,$102.535
06/03/2024,$102.87,4915081,$102.17,$104.13,$101.92
05/31/2024,$102.19,7915676,$101.86,$102.299,$101.39
05/30/2024,$101.74,5126729,$101.28,$102.61,$100.86
05/29/2024,$100.73,4961324,$101.09,$101.77,$100.64
05/28/2024,$101.95,4771127,$103.57,$103.59,$101.56
05/24/2024,$103.95,4455866,$104.15,$104.369,$103.58
05/23/2024,$104.23,5862199,$103.96,$104.91,$103.44
05/22/2024,$104.82,5933598,$102.95,$105.14,$102.94
05/21/2024,$102.96,4391572,$103.52,$103.86,$102.4097
05/20/2024,$103.21,7165905,$103.78,$103.80,$103.02
05/17/2024,$104.09,7004574,$104.41,$104.80,$103.94
05/16/2024,$104.87,8708267,$104.45,$105.19,$104.16
05/15/2024,$104.59,5443172,$104.10,$104.83,$104.10
05/14/2024,$104.01,7035128,$104.85,$105.13,$103.36
05/13/2024,$104.77,5459183,$104.99,$105.50,$104.40
05/10/2024,$104.74,7349729,$104.50,$105.67,$104.42
05/09/2024,$104.67,5902240,$104.73,$105.01,$104.50
05/08/2024,$104.94,6234711,$106.34,$106.34,$104.28
05/07/2024,$106.17,6556396,$106.52,$106.60,$105.79
05/06/2024,$105.64,3789737,$106.11,$106.17,$105.14
05/03/2024,$105.90,3610492,$106.11,$106.64,$105.475
05/02/2024,$105.92,3708515,$106.66,$106.66,$105.15
05/01/2024,$106.29,4097108,$105.93,$107.16,$105.91
04/30/2024,$105.97,5073971,$106.52,$106.87,$105.895
04/29/2024,$107.27,3307022,$107.39,$108.19,$106.60
04/26/2024,$107.53,3575566,$106.51,$107.8561,$106.39
04/25/2024,$106.86,3112495,$106.645,$107.455,$106.14
04/24/2024,$106.89,5052691,$106.71,$107.11,$105.56
04/23/2024,$107.59,3849589,$107.67,$108.11,$107.3101
04/22/2024,$107.07,4948315,$107.48,$107.90,$106.27
04/19/2024,$107.28,10533620,$105.98,$107.77,$105.38
04/18/2024,$105.27,7306449,$106.50,$107.03,$104.47
04/17/2024,$105.90,12002890,$107.53,$108.72,$104.25
04/16/2024,$109.21,7283867,$108.84,$110.33,$108.14
04/15/2024,$108.89,4595628,$110.09,$110.89,$108.831
04/12/2024,$109.11,4041615,$110.27,$110.50,$108.4916
04/11/2024,$111.45,4321456,$111.65,$111.98,$110.31
04/10/2024,$111.17,3965558,$111.22,$111.67,$110.35
04/09/2024,$112.44,4235804,$110.59,$112.57,$110.58
04/08/2024,$110.52,5810480,$111.30,$111.48,$110.14
04/05/2024,$111.20,5591219,$109.70,$111.26,$109.54
04/04/2024,$110.11,4799745,$111.84,$112.00,$109.8375
04/03/2024,$111.28,4409909,$112.14,$112.55,$111.05
04/02/2024,$112.02,4560740,$111.89,$112.42,$111.18
04/01/2024,$112.09,3963996,$113.66,$113.66,$111.82
03/28/2024,$113.66,5278215,$113.28,$114.02,$112.93
03/27/2024,$113.48,7533356,$112.00,$113.70,$111.94
03/26/2024,$111.50,7770829,$110.49,$111.90,$109.93
03/25/2024,$110.01,6622414,$110.45,$110.80,$109.11
03/22/2024,$110.57,5387719,$111.52,$111.98,$110.5439
03/21/2024,$111.51,9722663,$111.95,$112.14,$111.01
03/20/2024,$111.50,8317283,$113.00,$113.24,$110.73
03/19/2024,$113.16,8299307,$112.44,$114.42,$112.04
03/18/2024,$112.44,12991000,$115.35,$115.76,$112.29
03/15/2024,$115.49,22415680,$113.02,$115.49,$112.26
03/14/2024,$118.85,4952259,$120.01,$120.34,$117.85
03/13/2024,$120.16,3421685,$120.52,$120.93,$119.62
03/12/2024,$120.76,3079726,$119.95,$121.08,$119.06
03/11/2024,$120.19,3886029,$120.93,$121.42,$119.6157
03/08/2024,$120.96,3357442,$120.97,$121.64,$120.605
03/07/2024,$120.92,4200857,$120.095,$121.50,$119.9501
03/06/2024,$119.34,3388820,$118.60,$119.58,$118.42
03/05/2024,$118.48,3502340,$120.44,$120.60,$118.08
03/04/2024,$120.04,3164070,$118.30,$120.28,$118.17
03/01/2024,$118.62,3899429,$118.57,$119.455,$117.83
02/29/2024,$118.64,6135244,$120.32,$120.445,$118.525
02/28/2024,$120.05,3383982,$119.49,$120.11,$119.27
02/27/2024,$119.40,3203311,$118.16,$119.50,$117.83
02/26/2024,$118.69,3483103,$119.50,$119.95,$118.39
02/23/2024,$119.46,4261515,$119.38,$120.15,$118.86
02/22/2024,$119.02,4916218,$118.10,$119.25,$116.80
02/21/2024,$117.87,6144814,$115.96,$117.975,$115.96
02/20/2024,$116.64,9601289,$114.33,$117.19,$113.96
02/16/2024,$114.01,7161109,$113.50,$115.49,$113.45
02/15/2024,$113.64,5450684,$112.27,$114.27,$112.27
02/14/2024,$112.06,3991233,$111.64,$112.38,$111.12
02/13/2024,$111.34,4263613,$112.47,$113.11,$110.58
02/12/2024,$112.53,4232159,$111.50,$112.63,$111.21
02/09/2024,$111.81,5947680,$112.25,$112.63,$111.19
02/08/2024,$112.43,6980455,$113.35,$113.35,$111.52
02/07/2024,$113.31,4757532,$114.60,$114.60,$112.89
02/06/2024,$114.00,4734844,$111.82,$114.5099,$111.72
02/05/2024,$111.65,5670059,$112.02,$112.455,$111.15
02/02/2024,$112.11,7575685,$112.96,$114.06,$111.98
02/01/2024,$114.49,4520542,$112.75,$114.5374,$111.995
01/31/2024,$113.15,8325187,$114.00,$114.535,$112.62
01/30/2024,$113.48,4768366,$113.90,$113.92,$112.38
01/29/2024,$113.45,6480613,$112.15,$113.47,$112.03
01/26/2024,$112.01,5176697,$113.23,$113.41,$111.54
01/25/2024,$112.45,5648750,$111.41,$112.57,$110.785
01/24/2024,$110.77,8710759,$110.75,$113.345,$109.74
01/23/2024,$114.00,5037299,$114.45,$115.50,$112.87
01/22/2024,$114.19,5062485,$114.93,$115.64,$114.14
01/19/2024,$114.69,6843279,$113.63,$114.86,$113.46
01/18/2024,$114.02,5098185,$114.20,$114.57,$113.405
01/17/2024,$113.93,4672119,$113.62,$114.50,$113.435
01/16/2024,$113.76,5876044,$113.51,$114.07,$112.914
01/12/2024,$113.92,3884932,$114.17,$114.94,$113.45
01/11/2024,$113.50,5163897,$113.255,$113.73,$112.585
01/10/2024,$114.40,4672114,$113.05,$114.41,$112.805
01/09/2024,$112.73,3802118,$112.15,$113.54,$112.06
01/08/2024,$112.40,5030376,$111.13,$112.52,$110.92
01/05/2024,$110.80,4127750,$110.71,$111.05,$110.03
01/04/2024,$110.98,5296139,$109.68,$111.03,$109.51
01/03/2024,$109.52,4239623,$110.14,$110.25,$109.29
01/02/2024,$109.85,5058688,$109.56,$111.00,$109.56
12/29/2023,$110.07,3550304,$110.40,$110.73,$109.83
12/28/2023,$110.40,3206121,$109.85,$110.71,$109.715
12/27/2023,$109.79,2471820,$109.04,$109.80,$109.04
12/26/2023,$109.23,2513454,$108.51,$109.73,$108.51
