Date,Close/Last,Volume,Open,High,Low
06/21/2024,$19.56,3746477,$19.81,$19.85,$19.4711
06/20/2024,$19.76,2474768,$20.02,$20.02,$19.74
06/18/2024,$19.93,2528377,$20.45,$20.45,$19.835
06/17/2024,$20.07,2318672,$19.99,$20.07,$19.93
06/14/2024,$20.01,2802335,$20.05,$20.19,$19.865
06/13/2024,$20.16,1186939,$20.26,$20.26,$20.00
06/12/2024,$20.20,1520114,$20.34,$20.405,$20.19
06/11/2024,$20.31,1822414,$20.00,$20.31,$19.96
06/10/2024,$20.04,1536594,$20.08,$20.1387,$20.00
06/07/2024,$20.07,2024439,$20.26,$20.34,$20.00
06/06/2024,$20.28,1076000,$20.41,$20.50,$20.28
06/05/2024,$20.35,1818207,$20.33,$20.49,$20.30
06/04/2024,$20.37,2195117,$20.55,$20.56,$20.25
06/03/2024,$20.55,2210580,$20.64,$20.78,$20.41
05/31/2024,$20.64,4236680,$20.47,$20.65,$20.43
05/30/2024,$20.52,1656984,$20.38,$20.57,$20.33
05/29/2024,$20.36,3176643,$20.31,$20.44,$20.24
05/28/2024,$20.36,1553753,$20.31,$20.47,$20.30
05/24/2024,$20.37,1333840,$20.53,$20.54,$20.33
05/23/2024,$20.48,1642738,$20.58,$20.58,$20.385
05/22/2024,$20.61,1624868,$20.52,$20.62,$20.515
05/21/2024,$20.50,1733935,$20.60,$20.77,$20.445
05/20/2024,$20.64,1581826,$20.64,$20.699,$20.46
05/17/2024,$20.62,2497718,$20.91,$20.925,$20.52
05/16/2024,$20.90,2455880,$20.86,$20.97,$20.76
05/15/2024,$20.81,912741,$20.78,$20.85,$20.595
05/14/2024,$20.80,1566570,$20.77,$20.83,$20.65
05/13/2024,$20.69,1919640,$20.74,$20.89,$20.68
05/10/2024,$20.74,841233,$20.70,$20.775,$20.65
05/09/2024,$20.70,1531893,$20.79,$20.83,$20.67
05/08/2024,$20.74,2101677,$20.56,$20.78,$20.42
05/07/2024,$20.60,2554828,$20.66,$20.75,$20.59
05/06/2024,$20.62,897837,$20.59,$20.70,$20.53
05/03/2024,$20.57,1421457,$20.67,$20.69,$20.505
05/02/2024,$20.72,1649717,$20.63,$20.73,$20.60
05/01/2024,$20.58,2311914,$20.24,$20.60,$20.24
04/30/2024,$20.40,2138259,$20.26,$20.43,$20.02
04/29/2024,$20.37,1518926,$20.13,$20.38,$20.02
04/26/2024,$20.13,1553317,$19.90,$20.17,$19.885
04/25/2024,$19.91,3751646,$19.98,$20.12,$19.855
04/24/2024,$20.06,4130307,$20.28,$20.36,$19.845
04/23/2024,$20.32,3737222,$20.39,$20.42,$20.16
04/22/2024,$20.23,3578528,$20.49,$20.49,$20.06
04/19/2024,$20.35,1845766,$20.46,$20.47,$20.31
04/18/2024,$20.46,2074779,$20.43,$20.57,$20.315
04/17/2024,$20.44,1606908,$20.22,$20.50,$20.215
04/16/2024,$20.21,2187369,$20.24,$20.325,$20.14
04/15/2024,$20.24,2911821,$20.44,$20.465,$20.15
04/12/2024,$20.38,3621991,$20.66,$20.70,$20.13
04/11/2024,$20.67,2705503,$20.89,$20.91,$20.59
04/10/2024,$20.86,4105386,$20.83,$20.90,$20.705
04/09/2024,$20.93,1722503,$20.99,$20.995,$20.8425
04/08/2024,$20.96,5549158,$21.07,$21.10,$20.85
04/05/2024,$21.03,3122504,$21.12,$21.13,$20.825
04/04/2024,$21.13,1862198,$21.30,$21.40,$21.03
04/03/2024,$21.23,1444587,$21.23,$21.33,$21.08
04/02/2024,$21.09,2740538,$21.22,$21.29,$21.03
04/01/2024,$21.30,3429726,$21.52,$21.52,$21.245
03/28/2024,$21.44,3935009,$21.46,$21.46,$21.33
03/27/2024,$21.41,5810281,$21.43,$21.50,$21.35
03/26/2024,$21.33,4006914,$21.09,$21.435,$21.07
03/25/2024,$21.05,5257317,$20.91,$21.251,$20.825
03/22/2024,$20.90,2372084,$21.01,$21.03,$20.86
03/21/2024,$21.01,3137072,$21.00,$21.05,$20.88
03/20/2024,$20.99,2547845,$20.70,$20.99,$20.675
03/19/2024,$20.72,2577173,$20.87,$20.915,$20.67
03/18/2024,$20.82,1867496,$20.73,$20.985,$20.70
03/15/2024,$20.80,3463608,$20.55,$20.86,$20.55
03/14/2024,$20.62,3001739,$20.99,$20.99,$20.50
03/13/2024,$20.95,2712470,$20.92,$21.02,$20.81
03/12/2024,$20.94,1687070,$20.85,$20.965,$20.62
03/11/2024,$20.85,1517682,$20.79,$20.93,$20.71
03/08/2024,$20.86,2352090,$20.81,$20.93,$20.61
03/07/2024,$20.78,5978108,$20.57,$20.925,$20.55
03/06/2024,$20.45,4316134,$20.30,$20.52,$20.25
03/05/2024,$20.26,2867928,$20.16,$20.315,$19.99
03/04/2024,$20.12,3120015,$20.21,$20.29,$20.11
03/01/2024,$20.25,4411082,$20.30,$20.30,$20.10
02/29/2024,$20.28,7293120,$20.41,$20.52,$20.21
02/28/2024,$20.50,4386590,$20.84,$20.97,$20.00
02/27/2024,$20.80,8170710,$21.55,$21.55,$20.61
02/26/2024,$21.57,8845120,$21.39,$21.75,$21.05
02/23/2024,$21.44,3434814,$21.34,$21.505,$21.27
02/22/2024,$21.28,1831795,$21.22,$21.335,$21.11
02/21/2024,$21.24,1391164,$21.25,$21.36,$21.13
02/20/2024,$21.28,6612235,$21.66,$21.67,$21.00
02/16/2024,$21.58,6108280,$21.30,$21.62,$21.275
02/15/2024,$21.30,2158128,$21.26,$21.36,$21.25
02/14/2024,$21.21,2494976,$21.27,$21.385,$21.145
