Date,Close/Last,Volume,Open,High,Low
12/15/2023,$43.97,21329290,$45.24,$45.94,$43.17
12/14/2023,$44.84,30051140,$45.00,$46.96,$42.90
12/13/2023,$44.40,30974640,$39.90,$44.72,$38.7101
12/12/2023,$39.52,21149330,$40.10,$40.17,$37.80
12/11/2023,$39.92,29495100,$42.15,$42.86,$38.65
12/08/2023,$42.07,27539070,$39.28,$42.42,$38.61
12/07/2023,$39.41,19327500,$37.78,$39.83,$37.25
12/06/2023,$38.38,37398570,$38.71,$41.89,$38.28
12/05/2023,$38.19,20577030,$38.01,$38.64,$36.12
12/04/2023,$38.56,27938300,$37.062,$39.11,$36.56
12/01/2023,$37.67,33239550,$34.20,$37.945,$33.82
11/30/2023,$34.41,21455090,$33.82,$34.8882,$32.805
11/29/2023,$34.12,34864710,$32.66,$34.96,$32.60
11/28/2023,$32.75,44306000,$29.87,$33.05,$28.83
11/27/2023,$29.37,45419530,$27.08,$30.35,$27.05
11/24/2023,$26.23,6819198,$25.54,$26.55,$25.02
11/22/2023,$25.57,9662230,$25.50,$26.068,$25.095
11/21/2023,$25.03,8309986,$25.03,$25.28,$24.18
11/20/2023,$25.46,10975650,$24.80,$25.95,$24.04
11/17/2023,$24.79,11295120,$24.835,$25.22,$24.40
11/16/2023,$24.54,14409250,$25.46,$25.58,$24.27
11/15/2023,$25.98,19694610,$25.34,$27.00,$25.15
11/14/2023,$25.56,22925230,$24.86,$26.20,$24.59
11/13/2023,$22.88,10313630,$22.25,$23.1978,$21.88
11/10/2023,$22.43,27862170,$24.70,$24.75,$21.87
11/09/2023,$24.86,47263540,$24.97,$27.1566,$24.43
11/08/2023,$21.76,21472540,$21.51,$22.1897,$20.20
11/07/2023,$22.09,10337320,$21.71,$22.38,$21.06
11/06/2023,$21.71,11478820,$22.42,$22.5899,$21.19
11/03/2023,$22.43,19382530,$21.78,$23.14,$21.7575
11/02/2023,$21.04,25182660,$19.61,$21.10,$19.57
11/01/2023,$17.61,9481484,$17.70,$17.86,$16.85
10/31/2023,$17.61,9675744,$17.40,$17.86,$16.875
10/30/2023,$17.10,9911229,$17.355,$17.74,$16.50
10/27/2023,$16.93,12059420,$17.64,$17.78,$16.80
10/26/2023,$17.42,15506850,$16.82,$17.74,$16.38
10/25/2023,$16.64,25448440,$17.95,$17.97,$15.9725
10/24/2023,$19.56,10978610,$18.82,$19.98,$18.82
10/23/2023,$18.50,9412499,$17.90,$19.005,$17.18
10/20/2023,$18.25,8667307,$18.06,$18.51,$17.66
10/19/2023,$18.29,9560625,$18.71,$19.2071,$18.24
10/18/2023,$18.80,14285680,$19.70,$20.42,$18.511
10/17/2023,$19.97,12655330,$18.59,$20.0767,$18.44
10/16/2023,$18.88,10493180,$18.26,$19.03,$17.87
10/13/2023,$18.00,10982650,$18.67,$18.79,$17.73
10/12/2023,$18.60,12163660,$20.20,$20.35,$18.57
10/11/2023,$20.13,11973190,$19.78,$20.5799,$19.36
10/10/2023,$19.70,12294030,$18.95,$20.26,$18.65
10/09/2023,$18.79,10760280,$17.52,$18.92,$17.45
10/06/2023,$17.94,13390840,$16.85,$18.27,$16.69
10/05/2023,$17.51,10890290,$17.62,$17.815,$16.99
10/04/2023,$17.90,13247550,$18.55,$18.93,$17.48
10/03/2023,$18.28,18377760,$20.00,$20.18,$17.94
10/02/2023,$20.45,9694920,$21.18,$21.45,$20.25
09/29/2023,$21.27,17608590,$21.28,$22.525,$21.19
09/28/2023,$20.85,9477922,$20.21,$21.07,$20.035
09/27/2023,$20.26,10232070,$20.14,$20.5699,$19.5782
09/26/2023,$19.91,9357560,$19.77,$20.585,$19.72
09/25/2023,$20.22,17756380,$20.00,$20.49,$19.01
09/22/2023,$20.18,15019460,$21.375,$21.63,$20.02
09/21/2023,$21.25,20415110,$22.055,$22.16,$21.05
09/20/2023,$23.10,11017720,$24.07,$24.55,$23.07
09/19/2023,$23.75,15692920,$25.08,$25.13,$23.11
09/18/2023,$25.01,14582650,$24.295,$25.63,$23.90
09/15/2023,$24.37,11556190,$23.525,$24.485,$23.438
09/14/2023,$23.62,9611584,$23.76,$24.15,$23.485
09/13/2023,$23.35,9888816,$23.95,$24.22,$23.271
09/12/2023,$23.87,13024300,$23.39,$24.35,$23.12
09/11/2023,$23.57,13453980,$23.09,$23.875,$22.66
09/08/2023,$22.47,11810870,$22.40,$22.55,$21.47
09/07/2023,$22.48,14985780,$21.56,$22.6781,$20.84
09/06/2023,$22.10,12989540,$21.71,$22.4504,$21.4735
09/05/2023,$21.93,12892880,$21.77,$22.49,$21.61
09/01/2023,$21.86,18959180,$20.975,$22.04,$20.71
08/31/2023,$20.81,19815440,$20.11,$21.12,$19.8806
08/30/2023,$20.03,22398490,$19.05,$20.13,$18.77
08/29/2023,$19.15,26439610,$17.95,$19.44,$17.885
08/28/2023,$17.95,29435780,$18.10,$18.13,$17.07
08/25/2023,$17.79,85735870,$15.09,$18.32,$15.00
08/24/2023,$13.81,24674160,$14.55,$14.58,$13.74
08/23/2023,$14.51,6969820,$14.10,$14.58,$13.9601
08/22/2023,$14.22,7335491,$14.92,$15.38,$14.16
08/21/2023,$14.65,5522511,$14.56,$14.815,$14.36
08/18/2023,$14.50,7594659,$13.74,$14.51,$13.67
08/17/2023,$14.22,7397153,$14.37,$14.5706,$14.08
08/16/2023,$14.37,6901380,$14.35,$14.715,$14.26
08/15/2023,$14.50,6479030,$14.90,$14.94,$14.439
08/14/2023,$15.13,7420144,$14.92,$15.15,$14.58
08/11/2023,$15.16,7266354,$14.72,$15.31,$14.61
08/10/2023,$14.99,9910227,$15.63,$15.95,$14.78
08/09/2023,$15.52,11264610,$15.488,$16.0299,$15.21
08/08/2023,$15.80,12455270,$15.04,$15.83,$14.92
08/07/2023,$15.66,12664520,$16.61,$16.69,$15.35
08/04/2023,$16.69,11466660,$17.77,$17.77,$16.61
08/03/2023,$17.45,9502166,$17.41,$17.74,$16.9105
08/02/2023,$17.77,15840180,$18.68,$18.90,$17.10
08/01/2023,$19.61,14952400,$19.05,$19.7384,$18.52
07/31/2023,$19.39,23277700,$17.55,$19.40,$17.50
07/28/2023,$17.27,11981740,$16.96,$17.53,$16.78
07/27/2023,$16.43,18385910,$18.33,$19.345,$16.29
07/26/2023,$17.73,14981400,$17.34,$17.77,$16.68
07/25/2023,$17.60,18258750,$17.30,$18.51,$17.1199
07/24/2023,$17.07,7144880,$17.15,$17.36,$16.635
07/21/2023,$17.12,10347450,$17.35,$17.58,$16.53
07/20/2023,$17.12,12579210,$17.15,$17.63,$16.5802
07/19/2023,$17.65,19552870,$17.56,$18.67,$17.29
07/18/2023,$17.04,12304320,$17.18,$17.9399,$16.91
07/17/2023,$17.12,12892340,$16.35,$17.54,$15.90
07/14/2023,$16.39,13595490,$17.33,$17.78,$16.1733
07/13/2023,$17.45,22101510,$16.58,$17.98,$16.27
07/12/2023,$16.36,15479630,$16.74,$16.94,$16.09
07/11/2023,$16.21,27264530,$15.44,$16.525,$14.9331
07/10/2023,$14.78,13031080,$13.46,$14.79,$13.40
07/07/2023,$13.65,12700110,$13.84,$14.135,$13.59
07/06/2023,$13.79,28028420,$14.40,$14.48,$12.81
07/05/2023,$15.42,10879750,$15.85,$15.885,$15.25
07/03/2023,$16.12,9675090,$15.45,$16.5299,$15.45
06/30/2023,$15.33,11020500,$15.78,$16.09,$15.105
06/29/2023,$15.38,10243450,$15.665,$16.13,$15.12
06/28/2023,$15.48,11892660,$15.00,$15.54,$14.85
06/27/2023,$15.20,12195220,$14.98,$15.49,$14.69
06/26/2023,$14.84,9037149,$14.85,$15.6977,$14.765
06/23/2023,$14.81,10643800,$14.78,$15.065,$14.55
06/22/2023,$14.89,9323710,$15.32,$15.54,$14.87
06/21/2023,$15.50,12324980,$15.89,$16.06,$15.155
06/20/2023,$16.05,12107380,$16.50,$16.85,$15.83
06/16/2023,$16.67,12287620,$17.15,$17.43,$16.51
06/15/2023,$17.28,15607590,$16.79,$17.46,$16.355
06/14/2023,$17.04,38468250,$17.69,$17.90,$16.455
06/13/2023,$18.74,19438310,$18.63,$19.25,$18.15
06/12/2023,$18.26,20626070,$17.55,$18.86,$17.46
06/09/2023,$17.39,27936410,$19.18,$19.58,$17.36
06/08/2023,$18.85,41192120,$16.52,$19.0299,$16.2973
06/07/2023,$16.20,65058730,$18.42,$19.50,$16.13
06/06/2023,$15.82,12844210,$15.255,$16.25,$15.25
06/05/2023,$15.55,14801360,$15.82,$16.46,$15.12
06/02/2023,$15.70,15227950,$15.08,$15.88,$14.59
06/01/2023,$14.58,13232340,$14.725,$15.23,$14.38
05/31/2023,$14.86,17195440,$14.70,$15.78,$14.30
05/30/2023,$14.74,11760270,$14.29,$14.95,$14.02
05/26/2023,$14.08,8109873,$13.75,$14.25,$13.57
05/25/2023,$13.71,11407300,$14.57,$14.76,$13.50
05/24/2023,$14.30,13270080,$14.05,$14.37,$13.605
05/23/2023,$14.41,17572190,$14.38,$15.41,$14.27
05/22/2023,$14.53,16413200,$13.79,$14.835,$13.58
05/19/2023,$13.76,14829690,$14.59,$14.65,$13.68
05/18/2023,$14.69,21995990,$13.30,$14.74,$13.22
05/17/2023,$13.16,15053790,$12.60,$13.45,$12.4001
05/16/2023,$12.39,12291310,$12.62,$12.83,$12.10
05/15/2023,$12.80,14335580,$12.13,$12.98,$11.8427
05/12/2023,$12.07,15471530,$12.45,$12.45,$11.57
05/11/2023,$12.47,18486640,$12.20,$13.19,$11.86
05/10/2023,$12.25,31110220,$12.11,$12.965,$11.61
05/09/2023,$12.30,27208380,$11.60,$12.7391,$11.54
05/08/2023,$11.94,20473270,$10.905,$11.98,$10.79
05/05/2023,$10.71,23229960,$9.28,$10.815,$9.28
05/04/2023,$9.13,14838600,$9.15,$9.28,$8.80
05/03/2023,$9.26,18858220,$9.105,$9.86,$8.9801
05/02/2023,$9.01,14544030,$9.89,$9.92,$9.00
05/01/2023,$9.99,16321130,$9.86,$10.13,$9.42
04/28/2023,$9.86,10387700,$10.05,$10.4955,$9.795
04/27/2023,$10.16,10349580,$9.97,$10.415,$9.83
04/26/2023,$9.84,8153966,$10.14,$10.3499,$9.76
04/25/2023,$9.95,7439014,$10.44,$10.44,$9.945
04/24/2023,$10.53,7589425,$10.86,$10.95,$10.26
04/21/2023,$10.99,9055734,$10.97,$11.415,$10.89
04/20/2023,$10.92,6764883,$11.23,$11.40,$10.90
04/19/2023,$11.49,6317618,$11.41,$11.68,$11.23
04/18/2023,$11.68,7794887,$11.60,$11.745,$11.3403
04/17/2023,$11.51,10452540,$10.93,$11.6275,$10.83
04/14/2023,$11.04,11261080,$11.44,$11.54,$10.685
04/13/2023,$11.37,11221880,$11.12,$11.625,$11.04
04/12/2023,$10.94,14415110,$12.18,$12.2687,$10.905
04/11/2023,$11.70,10343660,$11.25,$11.80,$11.22
04/10/2023,$11.13,9345899,$10.41,$11.15,$10.28
04/06/2023,$10.57,9311299,$10.32,$10.89,$10.12
04/05/2023,$10.40,9749603,$10.60,$10.755,$10.01
04/04/2023,$10.81,10657220,$11.47,$11.48,$10.63
04/03/2023,$11.29,10730940,$11.20,$11.425,$10.83
03/31/2023,$11.27,16148470,$10.60,$11.44,$10.41
03/30/2023,$10.42,10385220,$10.80,$10.90,$10.33
03/29/2023,$10.50,16388050,$9.73,$10.57,$9.54
03/28/2023,$9.47,23167270,$10.14,$10.235,$9.11
03/27/2023,$10.22,12076970,$10.50,$10.66,$9.92
03/24/2023,$10.33,14666080,$9.798,$10.36,$9.67
03/23/2023,$9.99,18147790,$9.81,$10.75,$9.66
03/22/2023,$9.76,23930970,$10.62,$10.99,$9.73
