Date,Close/Last,Volume,Open,High,Low
12/15/2023,$12.18,1637034,$12.28,$12.34,$12.11
12/14/2023,$12.32,1110743,$12.67,$12.74,$12.205
12/13/2023,$12.60,877383,$12.20,$12.61,$11.99
12/12/2023,$12.08,1330824,$12.18,$12.28,$12.055
12/11/2023,$12.18,1063533,$12.21,$12.31,$11.90
12/08/2023,$12.21,768030,$12.23,$12.43,$12.16
12/07/2023,$12.30,597091,$12.21,$12.36,$12.0719
12/06/2023,$12.22,1141525,$12.15,$12.28,$12.065
12/05/2023,$12.08,1028156,$11.95,$12.25,$11.85
12/04/2023,$12.01,2138281,$12.05,$12.49,$11.92
12/01/2023,$12.14,1648643,$11.75,$12.19,$11.73
11/30/2023,$11.59,1102545,$11.58,$11.64,$11.465
11/29/2023,$11.58,749405,$11.50,$11.71,$11.44
11/28/2023,$11.44,903123,$11.47,$11.53,$11.32
11/27/2023,$11.46,970567,$11.64,$11.88,$11.455
11/24/2023,$11.51,320541,$11.43,$11.62,$11.38
11/22/2023,$11.47,762930,$11.55,$11.56,$11.355
11/21/2023,$11.45,1249177,$11.40,$11.75,$11.28
11/20/2023,$11.40,2581430,$11.70,$11.90,$11.36
11/17/2023,$11.29,2341130,$11.50,$11.93,$11.155
11/16/2023,$11.44,2953132,$11.04,$11.60,$10.75
11/15/2023,$10.54,1776719,$10.15,$10.60,$10.08
11/14/2023,$10.10,927547,$9.87,$10.13,$9.85
11/13/2023,$9.63,390641,$9.71,$9.75,$9.59
11/10/2023,$9.74,386833,$9.73,$9.775,$9.66
11/09/2023,$9.62,585240,$9.89,$9.89,$9.56
11/08/2023,$9.84,281966,$9.94,$10.00,$9.79
11/07/2023,$9.98,477071,$9.90,$10.0779,$9.86
11/06/2023,$9.96,770281,$10.00,$10.11,$9.87
11/03/2023,$9.95,569419,$9.90,$9.97,$9.82
11/02/2023,$9.80,781684,$9.54,$9.905,$9.505
11/01/2023,$9.44,854136,$9.10,$9.49,$8.985
10/31/2023,$9.02,756539,$9.30,$9.42,$8.94
10/30/2023,$9.25,1037315,$9.24,$9.31,$9.12
10/27/2023,$9.12,361698,$9.31,$9.35,$9.07
10/26/2023,$9.24,650633,$9.22,$9.385,$9.195
10/25/2023,$9.21,290874,$9.26,$9.37,$9.19
10/24/2023,$9.32,332292,$9.41,$9.51,$9.27
10/23/2023,$9.34,750553,$9.16,$9.505,$9.075
10/20/2023,$9.23,445681,$9.48,$9.52,$9.23
10/19/2023,$9.51,669791,$9.65,$9.82,$9.47
10/18/2023,$9.67,900361,$9.82,$9.82,$9.57
10/17/2023,$9.89,1123794,$9.67,$9.93,$9.67
10/16/2023,$9.75,706078,$9.50,$9.76,$9.475
10/13/2023,$9.45,1314628,$9.49,$9.575,$9.32
10/12/2023,$9.45,2160946,$9.48,$9.60,$9.31
10/11/2023,$9.50,677027,$9.30,$9.53,$9.28
10/10/2023,$9.20,617007,$8.96,$9.24,$8.96
10/09/2023,$8.91,597550,$8.85,$8.995,$8.59
10/06/2023,$8.92,591929,$8.91,$8.98,$8.715
10/05/2023,$9.01,669611,$8.83,$9.06,$8.83
10/04/2023,$8.84,1082164,$8.94,$8.965,$8.81
10/03/2023,$8.94,619366,$9.25,$9.27,$8.92
10/02/2023,$9.31,651614,$9.40,$9.555,$9.27
09/29/2023,$9.46,687672,$9.53,$9.54,$9.3704
09/28/2023,$9.42,881902,$9.28,$9.51,$9.23
09/27/2023,$9.29,1227632,$9.29,$9.36,$9.18
09/26/2023,$9.17,926227,$9.42,$9.44,$9.15
09/25/2023,$9.49,772099,$9.42,$9.68,$9.40
09/22/2023,$9.54,987346,$9.70,$9.74,$9.53
09/21/2023,$9.74,1187659,$10.14,$10.14,$9.73
09/20/2023,$10.23,540671,$10.26,$10.44,$10.22
09/19/2023,$10.23,482545,$10.42,$10.42,$10.14
09/18/2023,$10.40,611705,$10.25,$10.41,$10.15
09/15/2023,$10.18,1341837,$10.37,$10.38,$10.17
09/14/2023,$10.37,835061,$10.30,$10.50,$10.28
09/13/2023,$10.21,1111298,$10.05,$10.23,$9.995
09/12/2023,$9.93,973133,$9.68,$9.95,$9.68
09/11/2023,$9.74,577070,$9.71,$9.76,$9.61
09/08/2023,$9.58,598111,$9.67,$9.67,$9.52
09/07/2023,$9.67,496134,$9.63,$9.71,$9.60
09/06/2023,$9.67,621185,$9.72,$9.82,$9.64
09/05/2023,$9.73,968291,$9.83,$9.875,$9.605
09/01/2023,$9.91,683128,$10.02,$10.05,$9.74
08/31/2023,$9.87,1527107,$10.18,$10.26,$9.86
08/30/2023,$10.22,1133636,$10.21,$10.28,$10.18
08/29/2023,$10.21,2948320,$10.03,$10.27,$10.03
08/28/2023,$10.10,637994,$10.01,$10.14,$10.00
08/25/2023,$10.00,1007350,$9.91,$10.10,$9.865
08/24/2023,$9.98,972664,$10.35,$10.37,$9.965
08/23/2023,$10.41,1486834,$10.00,$10.57,$9.99
08/22/2023,$9.98,958388,$10.02,$10.085,$9.94
08/21/2023,$9.96,813404,$9.89,$10.015,$9.85
08/18/2023,$9.90,1115832,$9.75,$9.985,$9.42
08/17/2023,$9.88,2822591,$10.28,$10.61,$9.85
08/16/2023,$10.60,610912,$10.64,$10.74,$10.585
08/15/2023,$10.65,403875,$10.85,$10.85,$10.635
08/14/2023,$10.85,655079,$11.01,$11.03,$10.72
08/11/2023,$11.07,813997,$10.86,$11.09,$10.86
08/10/2023,$10.90,899384,$10.74,$10.975,$10.68
08/09/2023,$10.55,782663,$10.80,$10.81,$10.47
08/08/2023,$10.81,603481,$10.70,$10.84,$10.69
08/07/2023,$10.79,680886,$10.83,$10.8899,$10.70
08/04/2023,$10.75,633576,$10.77,$10.98,$10.74
08/03/2023,$10.77,1154822,$10.76,$10.915,$10.69
