Date,Close/Last,Volume,Open,High,Low
12/15/2023,$98.92,8415363,$97.42,$99.48,$97.42
12/14/2023,$97.98,786434,$96.44,$99.02,$96.095
12/13/2023,$94.85,857935,$94.62,$96.13,$93.22
12/12/2023,$94.60,608249,$93.24,$95.11,$92.94
12/11/2023,$93.24,564150,$92.46,$93.41,$92.29
12/08/2023,$92.26,578424,$92.07,$93.62,$92.06
12/07/2023,$91.81,539500,$91.06,$92.05,$90.93
12/06/2023,$91.01,658659,$90.95,$92.075,$90.95
12/05/2023,$90.13,803702,$91.21,$91.60,$90.01
12/04/2023,$91.46,2043979,$91.06,$91.90,$89.87
12/01/2023,$86.71,327989,$84.54,$86.91,$84.54
11/30/2023,$84.81,367980,$84.00,$85.15,$83.59
11/29/2023,$84.15,231843,$83.61,$84.56,$83.61
11/28/2023,$82.90,215265,$83.76,$84.11,$82.63
11/27/2023,$84.16,197294,$82.96,$84.30,$82.96
11/24/2023,$83.34,136522,$83.10,$83.99,$83.10
11/22/2023,$83.38,155709,$83.83,$83.83,$83.11
11/21/2023,$83.31,267686,$83.15,$83.76,$82.67
11/20/2023,$83.42,262357,$82.70,$83.43,$81.99
11/17/2023,$83.07,256946,$83.15,$83.23,$82.30
11/16/2023,$82.35,381422,$82.45,$83.00,$81.475
11/15/2023,$82.66,347445,$83.63,$84.23,$82.32
11/14/2023,$83.49,337449,$82.00,$83.73,$81.47
11/13/2023,$80.15,239386,$80.39,$81.016,$80.14
11/10/2023,$80.92,213270,$80.24,$80.95,$79.4988
11/09/2023,$79.68,227270,$80.75,$80.75,$79.39
11/08/2023,$80.36,269425,$80.71,$81.18,$79.88
11/07/2023,$80.81,345519,$79.70,$81.22,$79.70
11/06/2023,$79.83,510732,$80.36,$81.13,$79.80
11/03/2023,$80.69,483855,$79.84,$81.20,$79.84
11/02/2023,$78.82,407830,$78.08,$79.17,$77.73
11/01/2023,$77.20,383405,$75.35,$77.21,$75.04
10/31/2023,$75.89,444821,$74.72,$76.24,$74.37
10/30/2023,$74.96,484502,$73.47,$75.04,$73.25
10/27/2023,$73.00,507069,$73.19,$73.94,$72.30
10/26/2023,$73.23,419207,$73.44,$74.33,$72.70
10/25/2023,$72.52,676031,$73.82,$74.75,$72.23
10/24/2023,$73.93,1058158,$74.50,$76.56,$71.90
10/23/2023,$69.06,386210,$68.77,$69.805,$68.35
10/20/2023,$69.27,290220,$70.01,$70.30,$69.22
10/19/2023,$69.73,330689,$70.94,$71.49,$69.57
10/18/2023,$70.40,263914,$71.40,$71.40,$70.205
10/17/2023,$72.13,281871,$71.91,$73.25,$71.9084
10/16/2023,$72.50,283188,$71.04,$72.80,$71.04
10/13/2023,$70.75,218464,$71.59,$72.035,$70.54
10/12/2023,$71.56,223864,$73.75,$73.75,$71.29
10/11/2023,$73.51,214347,$72.35,$73.52,$72.115
10/10/2023,$72.29,347262,$71.85,$72.72,$71.625
10/09/2023,$71.34,249092,$69.87,$71.705,$69.655
10/06/2023,$70.61,293155,$70.48,$71.225,$70.15
10/05/2023,$71.18,377938,$70.95,$71.74,$70.86
10/04/2023,$70.97,504443,$70.76,$71.37,$69.98
10/03/2023,$70.46,445618,$70.79,$70.92,$69.7975
10/02/2023,$71.13,327411,$71.79,$72.26,$70.88
09/29/2023,$72.00,376705,$73.72,$73.72,$71.4875
09/28/2023,$73.17,328623,$71.46,$73.59,$71.1991
09/27/2023,$71.27,185527,$70.30,$71.37,$70.185
09/26/2023,$69.85,203015,$70.14,$70.69,$69.76
09/25/2023,$70.62,235372,$70.79,$71.25,$70.28
09/22/2023,$71.12,324546,$72.01,$72.35,$70.83
09/21/2023,$72.10,134594,$72.51,$72.70,$71.92
09/20/2023,$73.31,366693,$73.86,$75.42,$73.26
09/19/2023,$73.46,292695,$73.47,$73.78,$72.67
09/18/2023,$73.44,281739,$73.16,$73.62,$72.98
09/15/2023,$73.01,677200,$73.10,$73.10,$71.945
09/14/2023,$73.21,211085,$73.10,$73.625,$72.88
09/13/2023,$72.53,219301,$73.22,$73.22,$71.79
09/12/2023,$73.06,225268,$72.79,$73.615,$72.79
09/11/2023,$73.28,293903,$73.33,$73.5799,$72.485
09/08/2023,$72.67,248305,$71.68,$72.68,$71.19
09/07/2023,$71.96,537974,$72.15,$72.15,$70.73
09/06/2023,$72.21,356282,$73.30,$74.15,$71.95
09/05/2023,$73.47,307687,$76.34,$76.34,$72.76
09/01/2023,$76.96,180386,$76.95,$77.79,$76.81
08/31/2023,$76.59,227878,$77.64,$77.95,$76.32
08/30/2023,$77.13,248182,$77.19,$78.11,$76.965
08/29/2023,$77.20,287780,$75.31,$77.205,$74.80
08/28/2023,$75.32,227305,$73.90,$75.36,$73.90
08/25/2023,$73.65,243534,$74.16,$74.475,$72.97
08/24/2023,$73.85,271769,$73.35,$74.60,$73.35
08/23/2023,$73.81,238119,$73.90,$74.185,$73.51
08/22/2023,$73.56,219508,$73.41,$74.00,$73.23
08/21/2023,$73.54,157578,$74.47,$74.57,$73.215
08/18/2023,$74.57,273401,$73.91,$74.81,$73.91
08/17/2023,$74.13,236375,$76.29,$77.46,$73.95
08/16/2023,$76.37,275256,$76.38,$76.995,$76.28
08/15/2023,$76.48,307613,$76.85,$76.91,$75.84
08/14/2023,$76.97,368019,$75.36,$76.97,$75.035
08/11/2023,$75.76,195361,$76.56,$76.65,$75.45
08/10/2023,$76.43,165126,$77.22,$77.99,$76.29
08/09/2023,$77.28,179018,$77.57,$78.35,$77.245
08/08/2023,$77.48,424316,$77.95,$78.08,$76.14
08/07/2023,$78.63,314302,$78.51,$79.365,$78.425
08/04/2023,$78.29,366819,$77.64,$78.895,$77.36
08/03/2023,$77.28,237102,$77.01,$77.57,$76.26
08/02/2023,$77.44,229368,$76.19,$77.46,$75.95
08/01/2023,$77.10,276710,$77.18,$77.88,$76.84
07/31/2023,$77.36,449539,$78.62,$79.15,$77.01
07/28/2023,$78.42,287516,$78.26,$78.98,$78.00
07/27/2023,$77.50,340309,$78.84,$79.34,$77.275
07/26/2023,$78.59,476889,$78.15,$79.53,$78.15
07/25/2023,$78.03,553524,$78.26,$79.04,$76.20
07/24/2023,$76.13,368582,$75.41,$76.24,$75.21
07/21/2023,$75.17,274990,$76.01,$76.01,$75.00
07/20/2023,$75.58,477656,$75.94,$77.00,$73.87
07/19/2023,$74.25,361682,$73.50,$74.28,$73.18
07/18/2023,$73.37,238373,$72.84,$74.05,$72.84
07/17/2023,$73.18,325235,$73.60,$73.79,$73.00
07/14/2023,$73.93,246649,$74.62,$74.62,$73.24
07/13/2023,$74.70,232525,$75.54,$75.54,$74.31
07/12/2023,$74.86,211278,$74.92,$75.265,$74.14
07/11/2023,$73.82,234406,$73.37,$74.27,$73.13
07/10/2023,$72.94,313778,$72.08,$74.02,$72.08
07/07/2023,$72.44,338059,$72.29,$73.41,$72.29
07/06/2023,$71.82,407283,$71.93,$72.2102,$70.98
07/05/2023,$72.70,256028,$73.94,$74.62,$72.61
07/03/2023,$74.37,241896,$73.51,$74.64,$73.36
06/30/2023,$73.46,271613,$73.84,$74.20,$73.3675
06/29/2023,$73.39,222054,$72.57,$73.6075,$72.38
06/28/2023,$72.37,274548,$73.10,$73.10,$72.07
06/27/2023,$72.98,194479,$71.70,$73.12,$71.61
06/26/2023,$71.29,295634,$70.39,$72.00,$70.075
06/23/2023,$70.49,627352,$69.88,$70.93,$69.59
06/22/2023,$70.40,397051,$69.92,$70.50,$69.03
06/21/2023,$70.25,248003,$70.37,$70.87,$69.94
06/20/2023,$70.47,271454,$69.64,$70.70,$69.57
06/16/2023,$70.32,419109,$71.27,$71.50,$70.02
06/15/2023,$70.86,499378,$69.34,$71.10,$69.34
06/14/2023,$69.53,546253,$69.53,$70.375,$68.88
06/13/2023,$69.46,378705,$68.56,$69.96,$68.56
06/12/2023,$68.53,418571,$66.75,$68.66,$66.46
06/09/2023,$66.55,261645,$66.92,$67.14,$66.44
06/08/2023,$66.97,381150,$67.52,$68.04,$66.64
06/07/2023,$67.65,305855,$66.66,$67.90,$66.46
06/06/2023,$66.33,377686,$65.34,$66.68,$65.30
06/05/2023,$65.26,455620,$64.65,$65.37,$64.07
06/02/2023,$64.70,516584,$63.13,$64.81,$63.00
06/01/2023,$62.23,339059,$62.53,$62.985,$62.0301
05/31/2023,$62.44,518260,$62.85,$63.29,$62.33
05/30/2023,$63.09,716190,$63.86,$63.86,$62.595
05/26/2023,$63.56,493786,$63.20,$63.81,$62.74
05/25/2023,$63.19,475292,$63.65,$63.84,$62.26
05/24/2023,$63.70,613101,$65.40,$65.40,$63.30
05/23/2023,$65.29,424603,$65.19,$65.98,$64.825
05/22/2023,$65.62,365719,$65.38,$66.16,$65.05
05/19/2023,$65.50,496509,$66.75,$67.17,$65.35
05/18/2023,$66.25,1081150,$64.38,$66.32,$63.35
05/17/2023,$64.30,2665543,$64.69,$64.9725,$64.03
05/16/2023,$64.18,696430,$65.23,$65.31,$63.52
05/15/2023,$65.77,833233,$65.39,$66.51,$65.39
05/12/2023,$65.46,285108,$65.89,$66.36,$64.94
05/11/2023,$65.68,206827,$66.41,$66.41,$65.41
05/10/2023,$66.81,212071,$67.66,$67.68,$66.315
05/09/2023,$67.02,288184,$66.76,$67.455,$66.28
05/08/2023,$66.87,451429,$67.91,$68.14,$66.44
05/05/2023,$67.45,493124,$67.45,$67.85,$66.96
05/04/2023,$66.49,415588,$66.55,$67.07,$65.47
05/03/2023,$66.76,351572,$67.49,$68.68,$66.68
05/02/2023,$67.38,289599,$67.41,$68.24,$67.08
05/01/2023,$67.83,345171,$68.40,$69.08,$67.48
04/28/2023,$68.66,335828,$68.36,$69.21,$68.17
04/27/2023,$68.08,383400,$66.62,$68.35,$66.62
04/26/2023,$66.23,491689,$67.76,$69.13,$66.08
04/25/2023,$68.17,587589,$73.30,$74.14,$68.12
04/24/2023,$72.94,362703,$72.13,$73.02,$71.885
04/21/2023,$72.01,271081,$72.77,$72.77,$71.715
04/20/2023,$72.41,446341,$71.86,$72.79,$71.60
04/19/2023,$72.00,347636,$70.69,$72.225,$70.605
04/18/2023,$70.94,270609,$70.89,$71.49,$70.20
04/17/2023,$70.61,236795,$70.11,$70.74,$70.055
04/14/2023,$69.87,223614,$70.11,$70.575,$69.51
04/13/2023,$70.15,369892,$70.18,$70.3881,$68.81
04/12/2023,$70.14,315920,$70.69,$71.05,$69.79
04/11/2023,$69.98,442529,$68.81,$70.685,$68.775
