Date,Close/Last,Volume,Open,High,Low
12/15/2023,$112.73,1892587,$114.80,$115.52,$111.245
12/14/2023,$113.82,1789998,$117.00,$117.52,$112.25
12/13/2023,$116.52,912173,$115.86,$117.69,$114.44
12/12/2023,$116.35,1016497,$116.00,$117.93,$115.18
12/11/2023,$117.23,1536858,$115.00,$117.33,$113.96
12/08/2023,$115.81,2501509,$112.74,$118.24,$112.49
12/07/2023,$113.19,1392271,$113.80,$114.56,$112.13
12/06/2023,$112.80,2363179,$115.13,$115.9899,$112.09
12/05/2023,$115.63,3102743,$110.11,$115.76,$108.81
12/04/2023,$110.51,3997296,$109.22,$115.50,$107.7037
12/01/2023,$110.20,12243760,$98.24,$111.75,$97.7806
11/30/2023,$80.36,3164073,$80.79,$81.66,$79.215
11/29/2023,$79.64,1419011,$79.21,$81.31,$79.11
11/28/2023,$77.90,1028420,$75.72,$78.24,$74.99
11/27/2023,$76.14,1098747,$77.32,$78.63,$76.13
11/24/2023,$77.45,342220,$76.90,$77.77,$76.65
11/22/2023,$77.25,864954,$77.87,$78.41,$76.53
11/21/2023,$77.47,1215568,$75.73,$78.16,$75.5125
11/20/2023,$77.06,787342,$75.39,$77.56,$75.12
11/17/2023,$75.14,1416215,$74.00,$75.85,$73.22
11/16/2023,$73.57,1017263,$75.79,$76.40,$73.20
11/15/2023,$75.95,994755,$78.39,$79.21,$75.855
11/14/2023,$78.23,809852,$76.74,$78.34,$76.34
11/13/2023,$74.88,835889,$76.80,$77.23,$74.42
11/10/2023,$76.20,575377,$73.29,$76.44,$73.00
11/09/2023,$73.50,929670,$75.16,$75.52,$73.40
11/08/2023,$74.80,940230,$75.76,$76.25,$73.94
11/07/2023,$75.90,2507115,$75.14,$77.07,$73.33
11/06/2023,$71.25,1235560,$72.95,$73.29,$69.66
11/03/2023,$72.33,2075400,$70.44,$72.855,$70.25
11/02/2023,$70.87,2100487,$76.54,$76.97,$70.73
11/01/2023,$74.48,1562150,$74.90,$75.485,$73.84
10/31/2023,$75.04,869199,$74.62,$76.19,$73.61
10/30/2023,$74.52,1510213,$76.00,$76.20,$74.36
10/27/2023,$75.50,826023,$75.97,$76.66,$75.15
10/26/2023,$74.98,1232417,$75.76,$76.195,$73.98
10/25/2023,$75.53,1080145,$80.55,$81.01,$75.39
10/24/2023,$80.80,926521,$80.11,$81.555,$79.72
10/23/2023,$79.00,878440,$78.62,$80.75,$78.01
10/20/2023,$79.62,1202936,$81.98,$82.47,$78.58
10/19/2023,$82.20,1897908,$82.49,$84.04,$81.85
10/18/2023,$81.82,2654880,$83.53,$83.96,$81.0801
10/17/2023,$80.64,889994,$78.41,$81.98,$78.095
10/16/2023,$79.05,1332548,$78.83,$80.14,$77.45
10/13/2023,$78.97,1046160,$80.71,$81.02,$78.90
10/12/2023,$80.52,1266326,$81.41,$83.3509,$79.33
10/11/2023,$82.00,1120552,$80.84,$82.06,$80.01
10/10/2023,$80.38,1047774,$81.98,$82.48,$80.31
10/09/2023,$81.78,998054,$80.00,$82.38,$79.91
10/06/2023,$81.01,2275209,$75.43,$81.19,$75.43
10/05/2023,$76.13,1356247,$75.82,$76.73,$74.16
10/04/2023,$75.95,2287416,$79.25,$79.955,$75.14
10/03/2023,$79.51,1363168,$79.90,$81.69,$78.94
10/02/2023,$80.95,1098753,$81.27,$82.3882,$80.75
09/29/2023,$81.24,2182299,$80.05,$82.28,$80.00
09/28/2023,$79.07,1434875,$80.12,$80.68,$78.47
09/27/2023,$81.18,909327,$79.51,$81.21,$79.12
09/26/2023,$79.07,1343548,$80.70,$82.84,$79.01
09/25/2023,$80.38,1481066,$78.75,$82.33,$78.29
09/22/2023,$79.56,1046462,$78.97,$80.28,$77.58
09/21/2023,$77.78,1235252,$78.24,$79.20,$76.77
09/20/2023,$76.39,601322,$77.03,$77.66,$76.25
09/19/2023,$77.05,750977,$77.75,$78.00,$76.61
09/18/2023,$78.09,665063,$77.39,$78.45,$76.815
09/15/2023,$78.29,953903,$77.28,$78.51,$77.06
09/14/2023,$78.59,797193,$78.54,$79.325,$78.09
09/13/2023,$78.58,878148,$79.26,$79.50,$77.90
09/12/2023,$79.45,1147396,$78.25,$80.1307,$78.06
09/11/2023,$79.68,1126681,$78.01,$79.83,$76.75
09/08/2023,$77.89,789807,$79.14,$79.97,$77.87
09/07/2023,$78.58,1137520,$77.65,$79.41,$77.50
09/06/2023,$79.21,2358325,$74.95,$79.87,$74.48
09/05/2023,$75.02,2099404,$73.35,$76.30,$72.0312
09/01/2023,$74.27,5753795,$72.72,$76.26,$71.2743
08/31/2023,$61.88,1603328,$61.10,$62.7288,$60.86
08/30/2023,$60.76,607256,$59.55,$61.07,$59.30
08/29/2023,$59.69,1136425,$57.69,$60.38,$57.38
08/28/2023,$57.91,1066823,$60.31,$60.67,$57.77
08/25/2023,$60.03,528112,$58.97,$60.51,$58.59
08/24/2023,$59.38,537818,$61.80,$62.00,$59.32
08/23/2023,$60.89,1182109,$60.40,$61.505,$60.04
08/22/2023,$60.41,746968,$61.06,$61.46,$60.05
08/21/2023,$60.52,701154,$60.12,$61.19,$59.92
08/18/2023,$60.02,813204,$59.38,$60.47,$59.00
08/17/2023,$60.27,1109276,$61.58,$62.05,$59.06
08/16/2023,$61.54,1113414,$61.49,$62.81,$61.20
08/15/2023,$62.37,1667644,$60.85,$63.20,$60.42
08/14/2023,$61.30,752642,$58.82,$61.74,$58.73
08/11/2023,$59.44,621485,$58.93,$59.79,$58.93
08/10/2023,$59.53,776349,$59.68,$60.19,$58.61
08/09/2023,$58.75,819312,$59.49,$59.49,$58.23
08/08/2023,$59.49,1097107,$60.00,$60.475,$58.77
08/07/2023,$62.41,725675,$63.16,$63.42,$60.9001
08/04/2023,$63.51,1425164,$65.76,$66.72,$63.07
08/03/2023,$62.46,935018,$61.51,$62.86,$61.01
08/02/2023,$61.67,1035533,$65.26,$65.49,$60.935
08/01/2023,$66.70,849837,$65.97,$66.82,$65.13
07/31/2023,$66.45,917325,$66.00,$68.19,$65.905
07/28/2023,$64.46,545641,$64.53,$65.73,$63.76
07/27/2023,$63.26,633210,$65.21,$65.3399,$62.98
07/26/2023,$63.84,1530347,$64.12,$64.88,$63.57
07/25/2023,$64.51,1592909,$63.99,$65.20,$63.54
07/24/2023,$63.44,1024622,$64.26,$64.48,$63.00
07/21/2023,$63.86,938130,$65.75,$66.12,$63.765
07/20/2023,$64.98,1432262,$67.00,$67.32,$64.72
07/19/2023,$68.12,790971,$68.52,$69.82,$67.78
07/18/2023,$67.79,1621372,$69.12,$69.45,$67.15
07/17/2023,$69.20,1818219,$69.08,$70.99,$68.97
07/14/2023,$69.86,681605,$71.12,$71.57,$69.24
07/13/2023,$71.08,1287589,$71.63,$72.19,$69.44
07/12/2023,$70.77,1602809,$71.49,$72.58,$70.3163
07/11/2023,$69.53,1376264,$67.41,$69.78,$66.95
07/10/2023,$66.92,1124162,$64.10,$66.92,$63.8903
07/07/2023,$64.32,945705,$62.94,$65.24,$62.67
07/06/2023,$62.64,1045895,$63.51,$63.51,$61.645
07/05/2023,$64.68,1427704,$64.20,$65.00,$63.87
07/03/2023,$64.65,443544,$64.20,$65.205,$63.59
06/30/2023,$64.12,712002,$64.28,$64.83,$63.89
06/29/2023,$64.09,578518,$65.23,$65.79,$63.61
06/28/2023,$65.16,1214583,$63.32,$66.04,$63.21
06/27/2023,$63.65,1118178,$62.50,$64.00,$61.89
06/26/2023,$61.75,1270922,$61.73,$62.655,$61.40
06/23/2023,$62.30,1742889,$62.05,$62.66,$61.58
06/22/2023,$63.32,1375975,$63.38,$64.52,$62.52
06/21/2023,$63.96,983651,$65.53,$65.8962,$63.39
06/20/2023,$65.65,1375213,$65.52,$66.19,$64.50
06/16/2023,$66.39,1608375,$69.21,$69.5127,$66.07
06/15/2023,$69.46,3179861,$69.49,$70.00,$68.07
06/14/2023,$70.15,1078807,$70.56,$71.36,$69.3401
06/13/2023,$71.11,2058179,$71.56,$72.30,$70.11
06/12/2023,$71.06,1409276,$70.97,$71.12,$69.22
06/09/2023,$70.68,2312239,$69.18,$72.74,$68.62
06/08/2023,$68.44,1178480,$67.27,$69.40,$66.87
06/07/2023,$67.60,1871659,$71.48,$71.725,$67.14
06/06/2023,$71.44,1716353,$72.40,$73.42,$71.05
06/05/2023,$72.83,1204746,$72.68,$73.17,$70.14
06/02/2023,$72.29,4226764,$69.05,$74.78,$69.05
06/01/2023,$71.66,2188879,$71.63,$72.67,$69.77
05/31/2023,$72.82,1673387,$72.00,$73.58,$71.24
05/30/2023,$72.34,2515347,$70.70,$72.83,$69.5325
05/26/2023,$69.10,1032223,$66.70,$69.97,$66.70
05/25/2023,$66.67,1059779,$67.89,$68.94,$65.89
05/24/2023,$66.68,671861,$65.86,$67.10,$65.55
05/23/2023,$66.81,1397230,$65.38,$69.19,$65.38
05/22/2023,$65.71,637692,$64.63,$66.35,$64.25
05/19/2023,$64.81,702002,$65.21,$65.74,$63.805
05/18/2023,$65.57,2253166,$64.34,$66.24,$63.955
05/17/2023,$63.62,1204018,$61.16,$63.71,$61.16
05/16/2023,$60.64,632655,$60.38,$61.125,$60.1001
05/15/2023,$61.30,989582,$58.46,$62.03,$58.035
05/12/2023,$58.45,979996,$58.67,$59.22,$57.45
05/11/2023,$58.93,619390,$59.40,$59.48,$58.525
05/10/2023,$59.78,792893,$59.58,$61.20,$59.5223
05/09/2023,$58.46,495135,$56.89,$58.585,$56.89
05/08/2023,$57.50,794188,$57.33,$58.64,$56.8525
05/05/2023,$56.67,640868,$57.68,$59.00,$56.64
05/04/2023,$56.72,1186796,$55.03,$56.83,$54.545
05/03/2023,$54.10,1206397,$54.61,$55.79,$54.06
05/02/2023,$54.97,954504,$56.50,$56.94,$54.615
05/01/2023,$56.46,809592,$56.60,$56.97,$56.07
04/28/2023,$57.25,680029,$57.46,$58.26,$55.73
04/27/2023,$58.85,693229,$59.31,$59.31,$57.215
04/26/2023,$58.61,1000447,$57.52,$59.94,$57.33
04/25/2023,$56.17,968435,$57.54,$57.66,$56.03
04/24/2023,$58.39,563340,$60.27,$60.77,$58.13
04/21/2023,$60.29,607048,$60.24,$60.925,$59.52
04/20/2023,$59.99,1082083,$62.22,$62.735,$59.56
04/19/2023,$63.30,1129870,$62.15,$63.86,$61.79
04/18/2023,$62.85,1024223,$61.00,$62.92,$60.88
04/17/2023,$60.23,695525,$59.55,$60.38,$59.15
04/14/2023,$59.68,1146861,$58.41,$60.015,$57.98
04/13/2023,$59.00,1077093,$55.87,$59.145,$55.16
04/12/2023,$54.99,846809,$56.42,$56.58,$54.35
04/11/2023,$55.07,764187,$54.16,$55.40,$54.05
04/10/2023,$54.64,666124,$53.84,$54.92,$52.82
04/06/2023,$54.66,775070,$53.10,$54.67,$52.55
04/05/2023,$53.61,1011966,$55.69,$55.78,$52.30
04/04/2023,$56.19,623134,$57.26,$57.395,$55.64
04/03/2023,$56.70,835718,$57.04,$57.42,$55.71
03/31/2023,$57.90,1163732,$56.46,$58.38,$56.10
03/30/2023,$56.09,486945,$56.88,$57.30,$55.73
03/29/2023,$56.16,642322,$55.78,$56.48,$55.345
03/28/2023,$55.29,740562,$55.39,$55.67,$54.485
03/27/2023,$55.40,505157,$55.75,$56.29,$54.995
03/24/2023,$55.12,557019,$55.66,$56.30,$54.53
03/23/2023,$55.88,437537,$55.81,$56.96,$55.03
03/22/2023,$54.84,442877,$57.33,$57.41,$54.84
03/21/2023,$57.37,779617,$55.46,$57.88,$55.32
03/20/2023,$55.17,874673,$54.38,$55.26,$53.59
03/17/2023,$54.90,932159,$56.26,$56.65,$54.12
03/16/2023,$56.30,714114,$55.50,$56.52,$55.075
03/15/2023,$55.22,954562,$54.70,$55.89,$54.19
03/14/2023,$55.12,1157822,$56.31,$56.92,$54.55
03/13/2023,$55.17,1589186,$52.41,$55.795,$50.21
03/10/2023,$53.09,1807106,$55.66,$55.99,$51.89
03/09/2023,$56.26,1322395,$59.62,$59.87,$56.05
03/08/2023,$60.01,722173,$61.35,$62.04,$59.58
03/07/2023,$61.35,1143103,$61.99,$63.36,$60.69
03/06/2023,$62.36,1590835,$64.34,$66.50,$61.75
03/03/2023,$63.93,3895782,$63.27,$67.02,$61.47
03/02/2023,$58.41,1876094,$56.78,$58.47,$56.40
03/01/2023,$57.73,1224745,$58.75,$59.00,$57.22
02/28/2023,$59.02,980188,$58.05,$60.0674,$57.80
02/27/2023,$58.08,951677,$58.70,$59.275,$57.78
02/24/2023,$58.12,858159,$58.24,$60.27,$57.58
02/23/2023,$60.48,608649,$61.34,$61.78,$59.51
02/22/2023,$60.40,689663,$59.35,$60.88,$59.01
02/21/2023,$58.71,533089,$58.78,$59.75,$58.18
02/17/2023,$60.40,644518,$60.76,$60.76,$58.87
02/16/2023,$61.26,951632,$61.94,$63.35,$60.85
02/15/2023,$63.80,1005483,$62.87,$64.27,$62.14
02/14/2023,$62.24,1333425,$60.25,$63.67,$60.05
02/13/2023,$61.25,704443,$60.05,$61.67,$59.605
02/10/2023,$59.31,831898,$61.02,$61.49,$58.91
02/09/2023,$62.06,759211,$64.13,$64.57,$61.74
02/08/2023,$62.64,791664,$63.44,$64.42,$62.43
02/07/2023,$62.89,744871,$61.01,$63.38,$59.83
02/06/2023,$60.91,1422476,$60.16,$62.14,$60.16
02/03/2023,$61.30,1915335,$61.85,$63.54,$60.72
02/02/2023,$65.10,2459557,$65.17,$67.06,$64.26
02/01/2023,$63.39,1922442,$59.24,$64.57,$58.75
01/31/2023,$58.84,1989295,$58.19,$59.5417,$57.99
01/30/2023,$57.90,2285634,$58.18,$59.01,$56.45
01/27/2023,$59.35,1044112,$56.41,$59.70,$56.15
