Date,Close/Last,Volume,Open,High,Low
12/15/2023,$67.92,3221927,$67.63,$68.265,$67.12
12/14/2023,$68.45,2292226,$68.56,$68.87,$67.78
12/13/2023,$67.84,1698029,$66.65,$68.23,$66.105
12/12/2023,$66.45,1634299,$65.98,$66.72,$65.75
12/11/2023,$65.90,902162,$65.41,$65.93,$65.15
12/08/2023,$65.45,1067649,$65.30,$65.84,$64.66
12/07/2023,$65.59,1084896,$65.98,$65.98,$65.36
12/06/2023,$65.98,1194622,$66.43,$66.59,$65.77
12/05/2023,$65.99,1979131,$65.94,$66.39,$65.49
12/04/2023,$66.20,1766805,$65.16,$66.25,$65.00
12/01/2023,$65.49,1520499,$64.02,$65.58,$63.65
11/30/2023,$64.15,2052813,$63.15,$64.19,$62.95
11/29/2023,$63.28,1428787,$64.20,$64.25,$63.17
11/28/2023,$63.72,960173,$63.31,$63.75,$63.00
11/27/2023,$63.60,1571318,$63.09,$63.91,$62.58
11/24/2023,$63.21,385446,$63.30,$63.435,$62.705
11/22/2023,$63.29,727773,$63.67,$63.71,$63.08
11/21/2023,$63.05,1001681,$63.00,$63.18,$62.56
11/20/2023,$63.22,1533565,$62.01,$63.3619,$61.80
11/17/2023,$62.23,1082130,$62.64,$62.73,$61.995
11/16/2023,$62.03,1565992,$62.24,$62.425,$61.59
11/15/2023,$62.19,2181708,$61.91,$62.625,$61.89
11/14/2023,$61.88,1693493,$60.33,$62.61,$59.83
11/13/2023,$59.10,1325476,$59.03,$59.29,$58.5537
11/10/2023,$59.44,839174,$59.42,$59.51,$58.92
11/09/2023,$58.87,1222885,$59.67,$59.67,$58.59
11/08/2023,$59.53,1885426,$59.31,$59.6371,$58.95
11/07/2023,$59.17,1928400,$59.55,$59.72,$58.55
11/06/2023,$60.25,1924373,$61.68,$61.68,$59.935
11/03/2023,$61.75,2323910,$60.13,$62.57,$60.13
11/02/2023,$59.35,3734553,$60.33,$60.50,$57.3601
11/01/2023,$59.66,2320599,$59.17,$59.66,$58.8101
10/31/2023,$59.07,1984765,$58.67,$59.25,$57.98
10/30/2023,$58.29,1580800,$58.56,$58.985,$57.87
10/27/2023,$58.22,2172810,$59.30,$59.30,$57.90
10/26/2023,$59.02,1695637,$58.63,$59.36,$58.63
10/25/2023,$58.37,1061986,$59.14,$59.45,$58.31
10/24/2023,$59.65,2047406,$59.38,$59.90,$59.14
10/23/2023,$59.06,1354932,$58.98,$59.64,$58.5075
