Date,Close/Last,Volume,Open,High,Low
12/15/2023,$25.68,12868890,$25.68,$25.95,$25.22
12/14/2023,$25.67,18189210,$25.90,$26.43,$24.91
12/13/2023,$24.97,13326880,$24.20,$25.08,$22.94
12/12/2023,$24.56,13298300,$24.46,$25.18,$24.17
12/11/2023,$24.52,10614930,$23.93,$24.66,$23.66
12/08/2023,$24.63,11204570,$23.44,$24.67,$23.08
12/07/2023,$23.41,10811950,$23.22,$23.45,$22.52
12/06/2023,$23.36,17491620,$24.65,$24.67,$23.21
12/05/2023,$24.67,16287880,$25.14,$25.25,$23.95
12/04/2023,$25.25,28106830,$24.26,$25.41,$23.14
12/01/2023,$25.04,53677040,$22.61,$25.47,$22.13
11/30/2023,$19.76,21903840,$20.10,$20.305,$19.36
11/29/2023,$19.87,14842530,$19.34,$20.10,$19.32
11/28/2023,$18.98,9999090,$18.35,$19.30,$18.35
11/27/2023,$18.50,8021466,$18.28,$18.89,$18.12
11/24/2023,$18.35,2180246,$18.21,$18.53,$18.14
11/22/2023,$18.31,4016806,$18.42,$18.54,$18.05
11/21/2023,$18.17,4772982,$18.27,$18.49,$17.94
11/20/2023,$18.55,5128468,$18.37,$18.81,$18.31
11/17/2023,$18.27,4498345,$18.07,$18.43,$17.88
11/16/2023,$18.00,6214748,$18.37,$18.555,$17.90
11/15/2023,$18.67,7773422,$18.20,$19.09,$18.13
11/14/2023,$18.06,6610132,$17.90,$18.40,$17.82
11/13/2023,$17.22,4798782,$17.20,$17.265,$16.89
11/10/2023,$17.30,5262907,$16.56,$17.30,$16.50
11/09/2023,$16.59,5425165,$17.31,$17.495,$16.52
11/08/2023,$17.15,5305555,$17.30,$17.41,$16.93
11/07/2023,$17.26,6366259,$16.88,$17.55,$16.81
11/06/2023,$16.63,7078688,$17.19,$17.32,$16.29
11/03/2023,$17.32,7347232,$16.67,$17.465,$16.60
11/02/2023,$16.58,8389465,$16.00,$16.68,$16.00
11/01/2023,$15.52,5178043,$15.45,$15.57,$15.08
10/31/2023,$15.53,5438643,$15.20,$15.61,$15.00
10/30/2023,$15.08,4803411,$15.19,$15.42,$14.92
10/27/2023,$14.94,4177498,$15.48,$15.59,$14.895
10/26/2023,$15.28,5984514,$15.22,$15.60,$14.95
10/25/2023,$15.14,5897513,$15.75,$15.83,$15.09
10/24/2023,$16.00,3852575,$15.77,$16.3432,$15.77
10/23/2023,$15.56,5005981,$15.27,$15.845,$15.03
10/20/2023,$15.53,5621770,$15.97,$16.15,$15.40
10/19/2023,$16.04,5004756,$16.45,$16.70,$16.03
10/18/2023,$16.25,6577971,$16.61,$16.71,$15.975
10/17/2023,$16.70,5709992,$15.96,$16.76,$15.91
10/16/2023,$16.21,6962849,$15.45,$16.35,$15.33
10/13/2023,$15.39,8461777,$16.17,$16.32,$15.39
10/12/2023,$16.38,4548754,$17.03,$17.10,$16.16
10/11/2023,$17.02,4719204,$17.21,$17.445,$16.91
10/10/2023,$17.15,7960836,$16.91,$17.59,$16.91
10/09/2023,$16.77,4385559,$16.40,$16.97,$16.35
10/06/2023,$16.72,5730087,$15.935,$16.96,$15.89
10/05/2023,$16.24,6224605,$16.58,$16.65,$16.08
10/04/2023,$16.69,6518096,$16.085,$16.72,$16.075
10/03/2023,$16.02,11905900,$17.07,$17.24,$15.745
10/02/2023,$17.24,5446310,$17.15,$17.42,$17.005
09/29/2023,$17.11,6168824,$17.14,$17.50,$17.06
09/28/2023,$16.77,7266722,$16.19,$16.99,$16.05
09/27/2023,$16.29,5839272,$15.98,$16.52,$15.98
09/26/2023,$15.78,5326888,$16.05,$16.42,$15.75
09/25/2023,$16.29,4505768,$16.11,$16.445,$16.0599
09/22/2023,$16.29,5328196,$16.54,$16.5496,$16.19
09/21/2023,$16.32,6389816,$16.50,$16.895,$16.31
09/20/2023,$16.80,5349542,$17.21,$17.39,$16.76
09/19/2023,$17.06,5808250,$17.30,$17.38,$16.77
09/18/2023,$17.41,7238087,$17.38,$17.69,$17.06
09/15/2023,$17.56,10950520,$17.65,$17.7582,$17.125
09/14/2023,$17.75,7420775,$18.37,$18.41,$17.44
09/13/2023,$18.16,9578313,$18.56,$18.57,$17.74
09/12/2023,$18.67,11358200,$18.55,$19.015,$18.01
09/11/2023,$19.18,12223770,$18.67,$19.40,$18.435
09/08/2023,$18.48,18168930,$18.08,$18.77,$17.88
09/07/2023,$18.08,27601710,$16.43,$18.12,$16.21
09/06/2023,$16.22,16910470,$16.20,$16.58,$16.04
09/05/2023,$16.18,7250374,$15.75,$16.22,$15.65
09/01/2023,$15.89,4772225,$16.00,$16.35,$15.78
08/31/2023,$15.81,6128484,$15.68,$16.085,$15.675
08/30/2023,$15.61,5003984,$15.60,$15.77,$15.39
08/29/2023,$15.64,5029448,$15.10,$15.68,$14.94
08/28/2023,$15.08,4400387,$15.14,$15.41,$15.031
08/25/2023,$15.03,4257951,$14.63,$15.16,$14.593
08/24/2023,$14.64,5708683,$15.63,$15.63,$14.63
08/23/2023,$15.40,5120485,$15.355,$15.64,$15.175
08/22/2023,$15.29,5225983,$15.45,$15.48,$15.00
08/21/2023,$15.10,4173680,$14.82,$15.23,$14.72
08/18/2023,$14.82,6563701,$14.25,$15.05,$14.12
08/17/2023,$14.57,9658765,$15.12,$15.20,$14.27
08/16/2023,$15.29,4161802,$15.30,$15.50,$15.21
08/15/2023,$15.46,5774453,$15.28,$15.78,$15.23
08/14/2023,$15.45,5505585,$15.10,$15.475,$14.83
08/11/2023,$15.19,3960666,$15.06,$15.38,$15.04
08/10/2023,$15.42,4508798,$15.80,$15.90,$15.30
08/09/2023,$15.47,5767774,$15.85,$15.8649,$15.10
08/08/2023,$15.83,7275129,$15.81,$15.92,$15.40
08/07/2023,$16.19,5340680,$16.11,$16.27,$15.76
08/04/2023,$16.08,7245220,$16.48,$16.58,$15.90
08/03/2023,$16.30,6839814,$16.25,$16.60,$16.06
08/02/2023,$16.41,10301870,$17.16,$17.40,$16.25
08/01/2023,$17.79,6548608,$17.86,$17.87,$17.325
07/31/2023,$18.08,6911726,$17.63,$18.18,$17.57
07/28/2023,$17.43,6118878,$17.10,$17.565,$16.79
07/27/2023,$16.73,6971045,$17.79,$17.8427,$16.63
07/26/2023,$17.31,4818343,$16.95,$17.515,$16.88
07/25/2023,$17.00,5139160,$17.07,$17.21,$16.90
07/24/2023,$17.00,5259673,$17.48,$17.5739,$16.88
07/21/2023,$17.47,5952712,$17.57,$17.81,$17.20
07/20/2023,$17.38,9355659,$18.34,$18.49,$17.37
07/19/2023,$18.49,8774118,$18.54,$19.029,$18.16
07/18/2023,$18.24,9093457,$18.57,$18.67,$18.11
07/17/2023,$18.45,8747984,$17.58,$18.86,$17.50
07/14/2023,$17.54,7262649,$18.45,$18.54,$17.44
07/13/2023,$18.40,9689963,$17.90,$18.67,$17.78
07/12/2023,$17.57,9957372,$18.24,$18.28,$17.045
07/11/2023,$17.69,11834520,$17.26,$17.99,$17.16
07/10/2023,$17.07,7561928,$16.25,$17.09,$15.935
07/07/2023,$16.49,6479495,$16.82,$17.13,$16.45
07/06/2023,$16.45,11261060,$16.70,$16.77,$15.85
07/05/2023,$17.22,7046838,$16.76,$17.43,$16.585
07/03/2023,$16.92,3904641,$16.55,$17.015,$16.53
06/30/2023,$16.57,6417174,$16.99,$17.0787,$16.52
06/29/2023,$16.66,7709048,$17.10,$17.23,$16.43
