Date,Close/Last,Volume,Open,High,Low
12/15/2023,$37.08,2621747,$37.41,$37.41,$36.44
12/14/2023,$37.25,1433091,$37.09,$37.92,$36.92
12/13/2023,$36.73,1435945,$35.38,$36.965,$35.32
12/12/2023,$35.34,1740096,$35.80,$35.81,$35.34
12/11/2023,$35.73,1246115,$35.62,$35.97,$35.43
12/08/2023,$35.62,603859,$35.35,$36.28,$35.12
12/07/2023,$35.55,729800,$35.66,$35.92,$35.43
12/06/2023,$35.70,793433,$36.03,$36.395,$35.64
12/05/2023,$35.89,1016131,$36.28,$36.4514,$35.725
12/04/2023,$36.43,1028648,$35.50,$36.52,$35.494
12/01/2023,$35.69,1004613,$35.13,$35.725,$34.95
11/30/2023,$35.24,1524388,$35.14,$35.40,$35.03
11/29/2023,$35.17,602620,$35.25,$35.49,$35.05
11/28/2023,$35.07,569834,$35.13,$35.23,$34.99
11/27/2023,$35.23,605007,$35.25,$35.49,$35.15
11/24/2023,$35.31,149318,$35.37,$35.47,$35.215
11/22/2023,$35.45,395266,$35.54,$35.5997,$35.17
11/21/2023,$35.22,715090,$35.04,$35.42,$34.94
11/20/2023,$35.31,652080,$35.22,$35.385,$34.86
11/17/2023,$35.18,901347,$34.87,$35.24,$34.78
11/16/2023,$34.71,981425,$34.84,$34.91,$34.435
11/15/2023,$34.89,610874,$34.81,$35.3125,$34.695
11/14/2023,$35.05,755483,$34.33,$35.47,$34.33
11/13/2023,$33.37,515834,$33.41,$33.53,$33.11
11/10/2023,$33.58,597955,$33.09,$33.66,$32.97
11/09/2023,$32.96,547853,$33.71,$33.76,$32.87
11/08/2023,$33.59,550042,$33.76,$34.145,$33.43
11/07/2023,$33.69,533716,$34.12,$34.13,$33.50
11/06/2023,$34.18,945002,$34.89,$34.89,$33.70
11/03/2023,$35.09,831689,$35.51,$35.73,$35.00
11/02/2023,$34.88,953348,$35.01,$35.73,$34.3736
11/01/2023,$34.51,1394775,$34.75,$35.38,$33.49
10/31/2023,$35.31,912111,$34.37,$35.34,$34.2949
10/30/2023,$34.20,695719,$33.94,$34.315,$33.8448
10/27/2023,$33.55,553548,$34.40,$34.40,$33.4206
10/26/2023,$34.35,600316,$33.65,$34.55,$33.435
10/25/2023,$33.61,790592,$33.74,$34.22,$33.36
10/24/2023,$34.02,610683,$33.88,$34.14,$33.7622
10/23/2023,$33.68,934676,$33.51,$34.08,$33.25
10/20/2023,$33.63,629759,$34.24,$34.375,$33.57
10/19/2023,$34.15,644396,$34.36,$35.00,$34.15
10/18/2023,$34.62,430742,$34.86,$35.01,$34.41
10/17/2023,$34.98,791002,$34.25,$35.24,$34.25
10/16/2023,$34.62,732752,$34.37,$35.02,$34.31
10/13/2023,$34.06,613040,$34.24,$34.26,$33.59
10/12/2023,$34.29,489024,$34.58,$34.62,$34.05
10/11/2023,$34.70,563211,$34.00,$34.75,$34.00
10/10/2023,$33.89,431617,$33.91,$34.27,$33.76
10/09/2023,$33.86,584055,$33.10,$34.18,$33.10
10/06/2023,$33.30,554721,$33.19,$33.60,$32.895
10/05/2023,$33.40,861767,$32.65,$33.50,$32.65
10/04/2023,$32.72,487200,$32.42,$32.92,$32.28
10/03/2023,$32.43,802080,$32.76,$32.91,$32.12
10/02/2023,$32.95,636766,$33.51,$33.63,$32.57
09/29/2023,$33.54,682358,$34.13,$34.38,$33.205
09/28/2023,$33.82,797545,$33.80,$34.24,$33.62
09/27/2023,$33.62,739430,$33.80,$34.20,$33.41
09/26/2023,$33.57,936826,$33.75,$34.00,$33.475
09/25/2023,$34.05,1002262,$33.38,$34.42,$33.30
09/22/2023,$33.54,512416,$33.77,$34.03,$33.48
09/21/2023,$33.72,1153467,$34.20,$34.365,$33.63
09/20/2023,$34.32,764125,$34.46,$34.96,$34.31
09/19/2023,$34.78,401403,$34.76,$34.91,$34.51
09/18/2023,$34.72,426069,$35.17,$35.17,$34.67
09/15/2023,$35.17,1835723,$34.97,$35.25,$34.88
09/14/2023,$35.13,1341312,$34.76,$35.675,$34.695
09/13/2023,$34.69,464942,$35.03,$35.06,$34.555
09/12/2023,$35.04,507405,$34.95,$35.11,$34.84
09/11/2023,$35.05,451929,$35.16,$35.41,$34.96
09/08/2023,$35.15,570853,$35.13,$35.37,$35.00
09/07/2023,$35.03,738057,$34.98,$35.16,$34.83
09/06/2023,$34.88,673476,$34.08,$34.89,$34.05
09/05/2023,$34.06,519968,$34.13,$34.15,$33.755
09/01/2023,$34.09,451210,$34.05,$34.255,$33.95
08/31/2023,$33.86,674059,$34.39,$34.44,$33.84
08/30/2023,$34.40,553216,$34.45,$34.57,$34.23
08/29/2023,$34.36,316747,$34.14,$34.38,$33.85
