Date,Close/Last,Volume,Open,High,Low
12/15/2023,$15.63,26005480,$15.45,$15.7788,$15.06
12/14/2023,$15.75,30587950,$15.20,$15.84,$14.90
12/13/2023,$15.24,33196950,$14.00,$15.25,$13.74
12/12/2023,$14.065,16558620,$14.19,$14.28,$13.80
12/11/2023,$14.02,31166850,$14.84,$14.86,$13.53
12/08/2023,$15.83,31412720,$15.09,$15.97,$15.04
12/07/2023,$14.88,22045610,$14.27,$15.14,$14.1201
12/06/2023,$14.76,34912430,$15.40,$15.47,$14.69
12/05/2023,$15.14,46782650,$15.01,$16.02,$14.85
12/04/2023,$15.00,45641070,$15.15,$15.69,$14.365
12/01/2023,$13.77,32026750,$12.75,$13.82,$12.71
11/30/2023,$12.55,16716990,$13.03,$13.14,$12.51
11/29/2023,$13.00,25277460,$12.88,$13.29,$12.65
11/28/2023,$12.86,33550990,$12.14,$12.91,$11.80
11/27/2023,$11.82,18481190,$11.50,$12.15,$11.37
11/24/2023,$12.02,18308800,$11.65,$12.26,$11.4177
11/22/2023,$11.60,20931450,$11.278,$11.645,$10.67
11/21/2023,$11.17,19169740,$11.01,$11.38,$10.7169
11/20/2023,$11.32,25665070,$10.59,$11.5399,$10.59
11/17/2023,$10.48,16524990,$10.24,$10.525,$9.89
11/16/2023,$10.16,20282680,$10.20,$10.28,$9.73
11/15/2023,$10.68,31966630,$9.89,$10.835,$9.69
11/14/2023,$9.73,22081300,$10.00,$10.22,$9.33
11/13/2023,$9.79,18073310,$10.12,$10.14,$9.535
11/10/2023,$10.36,25758470,$10.32,$10.49,$9.70
11/09/2023,$10.21,53622490,$11.10,$12.08,$10.125
11/08/2023,$10.28,22190810,$10.80,$10.8257,$10.06
11/07/2023,$11.07,20864940,$10.91,$11.17,$10.43
11/06/2023,$11.01,21872320,$11.63,$11.95,$10.715
11/03/2023,$11.39,27466950,$11.02,$11.59,$10.88
11/02/2023,$11.30,28604150,$10.55,$11.31,$10.38
11/01/2023,$10.21,24654590,$10.00,$10.285,$9.66
10/31/2023,$9.78,14947670,$9.57,$9.85,$9.27
10/30/2023,$9.61,18914870,$9.92,$10.28,$9.38
10/27/2023,$9.54,16637280,$10.02,$10.18,$9.46
10/26/2023,$9.79,24072430,$10.25,$10.4606,$9.46
10/25/2023,$10.56,37323820,$10.88,$11.28,$10.46
10/24/2023,$10.67,51057480,$10.81,$11.37,$10.30
10/23/2023,$9.67,38368310,$9.12,$10.0388,$8.975
10/20/2023,$8.87,20312930,$9.10,$9.40,$8.82
10/19/2023,$8.82,16767620,$8.96,$9.19,$8.6802
10/18/2023,$8.84,20475370,$9.57,$9.675,$8.70
10/17/2023,$9.67,18436760,$9.25,$9.935,$9.12
10/16/2023,$9.42,36847910,$10.02,$10.47,$9.10
