Date,Close/Last,Volume,Open,High,Low
12/15/2023,$18.98,5198157,$19.28,$19.9075,$18.315
12/14/2023,$18.56,2202247,$19.04,$19.46,$17.41
12/13/2023,$19.47,1673345,$18.75,$19.83,$18.49
12/12/2023,$18.50,1130300,$18.07,$19.37,$17.87
12/11/2023,$18.07,896597,$18.44,$18.58,$17.47
12/08/2023,$18.25,1678429,$17.91,$19.53,$17.88
12/07/2023,$17.55,847095,$16.00,$17.56,$15.80
12/06/2023,$15.93,799813,$15.50,$16.36,$15.30
12/05/2023,$15.55,1793370,$14.38,$15.75,$14.38
12/04/2023,$14.50,1152009,$13.53,$14.57,$13.50
12/01/2023,$13.45,1144865,$12.58,$13.64,$12.21
11/30/2023,$12.59,1309193,$12.38,$12.88,$12.30
11/29/2023,$12.09,690870,$11.70,$12.1392,$11.49
11/28/2023,$11.63,318279,$11.97,$12.0103,$11.52
11/27/2023,$11.97,429178,$11.63,$12.04,$11.55
11/24/2023,$11.74,266415,$11.41,$11.85,$11.32
11/22/2023,$11.33,669279,$11.97,$12.18,$10.895
11/21/2023,$11.86,479851,$11.13,$11.96,$10.54
11/20/2023,$11.75,570005,$12.19,$12.34,$11.69
11/17/2023,$12.13,459508,$11.85,$12.28,$11.52
11/16/2023,$11.76,591672,$11.93,$12.225,$11.67
11/15/2023,$11.88,782753,$11.07,$12.05,$11.07
11/14/2023,$11.05,761293,$10.23,$11.08,$10.20
11/13/2023,$9.88,564173,$9.94,$10.00,$9.16
11/10/2023,$10.045,881078,$10.19,$10.19,$9.4804
11/09/2023,$10.205,834458,$11.89,$12.05,$10.07
11/08/2023,$11.95,560527,$12.40,$12.625,$11.82
11/07/2023,$12.35,707410,$11.70,$12.78,$11.46
11/06/2023,$12.17,603264,$12.40,$12.64,$12.02
11/03/2023,$12.41,558472,$12.75,$13.15,$12.37
11/02/2023,$12.54,661782,$12.30,$12.58,$12.14
11/01/2023,$12.30,724633,$11.84,$12.44,$11.4072
10/31/2023,$11.76,867420,$11.55,$11.88,$10.75
10/30/2023,$11.525,1408358,$10.34,$11.89,$10.14
10/27/2023,$10.34,1225802,$10.61,$11.24,$10.12
10/26/2023,$10.61,1997424,$9.00,$10.79,$9.00
10/25/2023,$9.02,2065588,$8.46,$9.31,$8.35
10/24/2023,$7.66,753575,$7.48,$7.78,$7.28
10/23/2023,$7.53,1614522,$7.65,$7.81,$7.37
10/20/2023,$7.64,588290,$7.51,$8.06,$7.50
10/19/2023,$7.50,2735608,$7.87,$7.98,$6.48
10/18/2023,$7.52,921853,$8.58,$8.77,$7.45
10/17/2023,$8.70,909918,$8.72,$8.78,$8.10
10/16/2023,$8.26,1027740,$7.80,$8.47,$7.77
10/13/2023,$7.84,1012888,$8.19,$8.19,$7.16
10/12/2023,$8.06,4499916,$7.73,$9.24,$7.45
10/11/2023,$6.85,246629,$7.16,$7.35,$6.60
10/10/2023,$7.125,333379,$7.20,$7.26,$6.87
10/09/2023,$7.22,273458,$7.25,$7.52,$7.01
10/06/2023,$7.37,563238,$7.31,$8.5795,$7.26
10/05/2023,$7.28,272793,$6.72,$7.32,$6.30
10/04/2023,$6.77,235016,$6.66,$6.80,$6.55
10/03/2023,$6.65,246146,$6.44,$6.68,$6.225
10/02/2023,$6.52,319293,$7.05,$7.10,$6.34
09/29/2023,$7.10,319372,$7.21,$7.34,$7.06
09/28/2023,$7.29,242466,$7.11,$7.34,$6.95
09/27/2023,$7.11,330212,$6.76,$7.21,$6.76
09/26/2023,$6.79,488305,$6.45,$6.92,$6.45
09/25/2023,$6.44,251785,$6.33,$6.50,$6.18
09/22/2023,$6.36,254366,$6.32,$6.39,$6.03
09/21/2023,$6.31,309682,$6.86,$7.00,$6.22
09/20/2023,$6.96,361072,$7.00,$7.39,$6.90
09/19/2023,$6.91,403310,$6.25,$7.15,$6.125
09/18/2023,$6.24,249181,$6.34,$6.37,$5.94
09/15/2023,$6.40,2066084,$6.25,$6.49,$6.20
09/14/2023,$6.24,187362,$6.09,$6.31,$6.02
09/13/2023,$6.09,181476,$6.21,$6.32,$6.06
09/12/2023,$6.20,138116,$6.09,$6.38,$6.08
09/11/2023,$6.16,128507,$6.20,$6.28,$6.09
