Date,Close/Last,Volume,Open,High,Low
12/15/2023,26.97,2085872,27.04,27.135,26.06
12/14/2023,26.99,3798650,26.78,27.36,26.7604
12/13/2023,25.66,3498022,24.94,25.68,24.90
12/12/2023,24.83,5505986,25.33,25.3702,24.588
12/11/2023,26.62,2210342,26.31,26.74,25.9898
12/08/2023,26.27,2902113,26.03,26.51,25.84
12/07/2023,25.34,3294464,25.74,25.81,24.88
12/06/2023,25.19,6606442,25.92,26.1402,25.08
12/05/2023,27.01,3472012,28.085,28.40,26.99
12/04/2023,27.89,3981954,27.80,28.71,27.28
12/01/2023,28.08,4936442,29.11,29.69,27.908
11/30/2023,28.58,7871507,31.19,31.63,28.51
11/29/2023,30.48,3061565,30.26,30.72,29.18
11/28/2023,29.56,2358940,29.19,30.0311,28.94
11/27/2023,28.78,2055535,28.99,29.56,28.4567
11/24/2023,29.30,1249575,29.45,30.14,29.24
11/22/2023,29.80,4867577,28.10,30.05,27.71
11/21/2023,30.57,1293956,30.233,30.60,29.99
11/20/2023,30.36,2153177,30.30,30.8647,30.13
11/17/2023,29.20,2991255,28.0082,29.33,28.0082
11/16/2023,27.30,4733587,28.52,28.565,26.91
11/15/2023,29.73,2372371,29.91,30.40,29.60
11/14/2023,30.44,1981861,30.81,31.42,30.19
11/13/2023,30.65,1475215,29.77,30.66,29.72
11/10/2023,29.77,2091648,29.40,30.09,29.27
11/09/2023,28.68,2481213,28.82,29.58,28.585
11/08/2023,28.53,4572635,29.35,29.625,28.21
11/07/2023,29.74,5120258,30.68,30.74,29.57
11/06/2023,32.18,2173836,32.79,32.94,32.11
11/03/2023,31.84,3416825,32.19,32.97,31.40
11/02/2023,32.89,2011406,31.99,33.08,31.87
11/01/2023,31.74,2636391,33.00,33.18,31.35
10/31/2023,31.98,3618238,32.73,33.28,31.55
10/30/2023,32.48,4181796,33.41,33.65,31.9412
10/27/2023,34.15,2614543,33.80,34.62,32.98
10/26/2023,33.25,2305453,33.15,33.69,32.9001
10/25/2023,34.29,3360143,33.30,34.58,32.24
10/24/2023,33.12,2688394,33.82,33.9499,32.56
10/23/2023,34.27,3179083,35.20,35.37,33.90
10/20/2023,35.40,2845265,36.14,36.37,35.03
10/19/2023,36.20,3116795,34.77,36.2199,34.46
