Date,Close/Last,Volume,Open,High,Low
12/15/2023,$44.52,11408510,$45.00,$46.29,$43.61
12/14/2023,$45.24,26378270,$45.00,$46.90,$43.26
12/13/2023,$42.71,25055090,$35.57,$43.00,$34.75
12/12/2023,$35.50,8440634,$35.56,$36.99,$34.05
12/11/2023,$35.65,11922840,$37.76,$38.02,$34.53
12/08/2023,$36.92,13751070,$33.66,$37.48,$33.36
12/07/2023,$33.87,8585173,$33.59,$34.81,$32.325
12/06/2023,$34.16,16600510,$33.89,$37.33,$33.855
12/05/2023,$33.04,9879015,$34.00,$34.1206,$31.62
12/04/2023,$34.29,15498880,$31.51,$34.405,$31.25
12/01/2023,$32.37,17615970,$26.48,$32.75,$26.05
11/30/2023,$26.76,7846686,$26.65,$27.70,$25.61
11/29/2023,$26.54,8705657,$26.70,$27.9653,$26.39
11/28/2023,$26.17,6943554,$24.21,$26.23,$23.62
11/27/2023,$24.34,5961160,$23.80,$25.105,$23.48
11/24/2023,$23.73,2392501,$23.30,$23.751,$22.89
11/22/2023,$23.48,4299929,$24.12,$24.5999,$23.356
11/21/2023,$23.78,5137118,$25.51,$25.76,$23.705
11/20/2023,$25.99,5422248,$25.762,$26.36,$25.13
11/17/2023,$25.58,5235934,$24.68,$25.68,$23.8501
11/16/2023,$24.27,5640975,$25.60,$25.6106,$23.7601
11/15/2023,$26.00,9661294,$25.50,$27.28,$24.65
11/14/2023,$25.43,12078120,$23.22,$25.6211,$22.82
11/13/2023,$21.84,4687735,$20.57,$21.95,$20.2501
11/10/2023,$20.87,7918554,$21.21,$21.32,$19.84
11/09/2023,$21.12,12245820,$21.80,$22.73,$20.95
11/08/2023,$21.38,22941570,$21.28,$22.71,$20.72
11/07/2023,$29.41,11295290,$29.35,$30.20,$28.79
11/06/2023,$29.30,8395295,$31.00,$31.43,$28.344
11/03/2023,$30.32,8681475,$28.51,$30.58,$28.30
11/02/2023,$27.43,6892037,$26.03,$27.47,$25.64
11/01/2023,$24.59,3113919,$24.20,$24.67,$23.46
10/31/2023,$24.03,3290897,$23.40,$24.53,$23.2578
10/30/2023,$23.32,3594640,$23.70,$24.43,$22.72
10/27/2023,$23.03,3032495,$23.50,$23.73,$22.82
10/26/2023,$23.14,4123057,$23.00,$23.70,$22.36
10/25/2023,$23.01,4657723,$24.02,$24.08,$22.53
10/24/2023,$24.58,4445162,$24.56,$25.8972,$24.42
10/23/2023,$24.37,4144704,$23.97,$25.1473,$23.12
10/20/2023,$24.69,5198157,$26.43,$26.78,$24.5991
10/19/2023,$26.68,4105853,$26.62,$27.40,$26.22
10/18/2023,$26.80,4472173,$28.62,$29.0399,$26.51
10/17/2023,$29.17,3250607,$28.50,$29.5997,$28.34
10/16/2023,$28.97,4016264,$27.35,$29.22,$26.94
10/13/2023,$27.13,2882172,$27.80,$28.15,$26.51
10/12/2023,$27.74,4043540,$29.21,$29.2758,$27.59
10/11/2023,$29.01,4379165,$29.95,$30.432,$28.56
10/10/2023,$29.41,4454417,$28.75,$30.40,$28.74
10/09/2023,$28.445,2948479,$26.73,$28.57,$26.73
10/06/2023,$27.55,5849762,$25.60,$27.7469,$25.05
10/05/2023,$26.83,3729023,$26.41,$27.2613,$25.66
10/04/2023,$26.86,3056271,$26.48,$27.11,$25.73
10/03/2023,$26.16,4060985,$26.93,$27.3599,$25.95
10/02/2023,$27.56,4105162,$28.74,$29.0387,$27.37
09/29/2023,$28.54,5879439,$28.22,$29.61,$28.14
09/28/2023,$27.59,5513007,$26.94,$28.06,$26.19
09/27/2023,$26.93,5312239,$27.19,$27.97,$26.19
09/26/2023,$26.74,3979131,$26.37,$27.1399,$26.08
09/25/2023,$26.87,3308340,$26.00,$26.965,$25.85
09/22/2023,$26.55,4071368,$27.39,$27.90,$26.16
09/21/2023,$27.09,5490916,$26.76,$27.45,$25.92
09/20/2023,$27.84,5471060,$29.21,$30.25,$27.81
09/19/2023,$28.53,4531102,$28.70,$29.15,$27.85
